report_date_utc,brand,roll7_video_mentions,roll7_views,roll7_likes,roll7_comments,roll7_top_channels
2025-09-11,acropass,1,6,1,0,
2025-09-11,age-r,269,893535,5824,249,
2025-09-11,anua,45,35598,485,21,
2025-09-11,bbia,7,3873,53,0,
2025-09-11,beauty of joseon,15,4397,44,1,
2025-09-11,belif,3,549,8,0,
2025-09-11,biodance,5,1818,83,5,
2025-09-11,booster pro,4,799,12,6,
2025-09-11,cell fusion c,1,887,10,0,
2025-09-11,coolfase,1,164,0,0,
2025-09-11,cosrx,42,15544,304,11,
2025-09-11,dalba,11,11562,224,15,
2025-09-11,hwahae,1,1324,21,1,
2025-09-11,innisfree,9,13433,53,12,
2025-09-11,iope,7,16106,741,13,
2025-09-11,jolse,1,360,0,4,
2025-09-11,juvelook,4,1177,7,2,
2025-09-11,laneige,68,59433,1097,70,
2025-09-11,madeca,1,849,7,1,
2025-09-11,mamonde,1,2466,78,8,
2025-09-11,manyo,6,4615,236,2,
2025-09-11,medicube,61,23099,286,17,
2025-09-11,merzy,4,5768,33,0,
2025-09-11,mighty patch,3,1937,14,1,
2025-09-11,missha,5,213,2,0,
2025-09-11,mixoon,1,910,0,0,
2025-09-11,numbuzin,8,4864,187,32,
2025-09-11,ohui,2,1365,4,0,
2025-09-11,oligio,5,565,4,0,
2025-09-11,olive young,19,12316,496,33,
2025-09-11,peripera,9,6610,74,7,
2025-09-11,potenza,51,27118,1501,526,
2025-09-11,real barrier,1,168,20,0,
2025-09-11,reedle shot,9,5961,54,0,
2025-09-11,rejuran,6,2061,73,9,
2025-09-11,rom&nd,3,997,4,0,
2025-09-11,round lab,13,4219,52,7,
2025-09-11,skin1004,39,19026,535,61,
2025-09-11,stylekorean,9,2528,27,0,
2025-09-11,stylevana,13,7713,576,125,
2025-09-11,sulwhasoo,27,29287,1282,87,
2025-09-11,sylfirm,1,0,0,0,
2025-09-11,tirtir,18,50602,2644,152,
2025-09-11,tonymoly,4,2807,37,0,
2025-09-11,torriden,11,3945,21,4,
2025-09-11,ultraformer,6,405,4,1,
2025-09-11,wellage,3,1635,16,0,
2025-09-11,yesstyle,99,69821,2115,103,
2025-09-12,a'pieu,1,603,6,1,
2025-09-12,acropass,1,7,1,0,
2025-09-12,age-r,495,1407970,18735,502,
2025-09-12,anua,97,101931,2088,88,
2025-09-12,bbia,16,9959,236,0,
2025-09-12,be the skin,1,715,2,0,
2025-09-12,beauty of joseon,33,12466,165,16,
2025-09-12,belif,9,3406,49,0,
2025-09-12,biodance,18,26197,893,26,
2025-09-12,booster pro,7,2422,79,18,
2025-09-12,cell fusion c,2,2508,19,0,
2025-09-12,centellian,2,455,3,0,
2025-09-12,coolfase,1,1003,3,0,
2025-09-12,cosrx,81,93025,2912,54,
2025-09-12,dalba,19,17667,454,29,
2025-09-12,goodal,2,2148,10,1,
2025-09-12,history of whoo,3,1179,13,4,
2025-09-12,hwahae,1,1339,21,1,
2025-09-12,innisfree,17,30454,174,22,
2025-09-12,innotox,1,3450,230,44,
2025-09-12,iope,12,37663,1461,20,
2025-09-12,jeuveau,2,173,0,0,
2025-09-12,jolse,2,793,0,5,
2025-09-12,juvelook,6,1848,15,2,
2025-09-12,laneige,138,411072,8979,395,
2025-09-12,letybo,2,421,36,0,
2025-09-12,madeca,4,1127,7,1,
2025-09-12,mamonde,1,5847,145,10,
2025-09-12,manyo,13,6840,372,7,
2025-09-12,medicube,132,68710,908,40,
2025-09-12,merzy,6,7868,45,0,
2025-09-12,mighty patch,7,3593,30,3,
2025-09-12,missha,14,4167,84,15,
2025-09-12,mixoon,1,966,0,2,
2025-09-12,nabota,1,5,0,0,
2025-09-12,numbuzin,16,14425,291,42,
2025-09-12,ohui,3,1354,5,0,
2025-09-12,oligio,7,2083,12,0,
2025-09-12,olive young,33,42763,1577,58,
2025-09-12,peripera,11,13491,157,10,
2025-09-12,potenza,107,60944,2238,595,
2025-09-12,real barrier,1,204,16,0,
2025-09-12,reedle shot,14,18475,278,10,
2025-09-12,rejuran,12,7279,116,20,
2025-09-12,rom&nd,8,14555,631,15,
2025-09-12,round lab,18,7117,96,7,
2025-09-12,skin1004,74,60252,1204,74,
2025-09-12,stylekorean,13,5825,71,1,
2025-09-12,stylevana,27,27217,1186,163,
2025-09-12,sulwhasoo,38,45671,1901,107,
2025-09-12,sylfirm,4,1961,11,0,
2025-09-12,tirtir,37,123708,5160,198,
2025-09-12,tonymoly,10,3624,48,3,
2025-09-12,torriden,20,10931,63,4,
2025-09-12,ultraformer,10,2782,15,5,
2025-09-12,wellage,4,1682,21,0,
2025-09-12,yesstyle,222,209076,5169,271,
2025-09-13,a'pieu,1,1662,17,1,
2025-09-13,acropass,1,9,1,0,
2025-09-13,age-r,697,2728747,33261,844,
2025-09-13,anua,127,204897,5268,168,
2025-09-13,bbia,30,21664,364,4,
2025-09-13,be the skin,1,726,2,0,
2025-09-13,beauty of joseon,46,28019,290,31,
2025-09-13,belif,12,7767,99,0,
2025-09-13,biodance,25,170687,7159,148,
2025-09-13,booster pro,16,3725,93,25,
2025-09-13,cell fusion c,4,4821,48,0,
2025-09-13,centellian,3,542,5,0,
2025-09-13,coolfase,1,1229,5,0,
2025-09-13,cosrx,117,177039,5133,156,
2025-09-13,dalba,31,73274,1184,64,
2025-09-13,goodal,4,2480,13,2,
2025-09-13,history of whoo,3,1658,18,4,
2025-09-13,hwahae,1,1367,21,1,
2025-09-13,innisfree,30,110393,487,89,
2025-09-13,innotox,1,7293,378,76,
2025-09-13,iope,18,112801,3656,89,
2025-09-13,jeuveau,2,161,0,0,
2025-09-13,jolse,4,2749,4,10,
2025-09-13,juvelook,6,1871,17,2,
2025-09-13,laneige,231,869765,17734,1019,
2025-09-13,letybo,2,455,40,0,
2025-09-13,madeca,4,1183,8,1,
2025-09-13,mamonde,1,8075,186,11,
2025-09-13,manyo,19,12272,620,11,
2025-09-13,medicube,189,148868,1841,69,
2025-09-13,merzy,8,8487,46,0,
2025-09-13,mighty patch,8,5155,43,3,
2025-09-13,missha,24,10466,152,23,
2025-09-13,mixoon,2,1735,19,2,
2025-09-13,nabota,4,82,0,0,
2025-09-13,numbuzin,30,38250,1388,54,
2025-09-13,ohui,5,1748,13,1,
2025-09-13,oligio,9,5856,43,0,
2025-09-13,olive young,49,82288,2615,98,
2025-09-13,peripera,18,42804,940,30,
2025-09-13,potenza,167,135144,4448,885,
2025-09-13,real barrier,1,351,18,0,
2025-09-13,reedle shot,21,39279,710,18,
2025-09-13,rejuran,19,12349,167,22,
2025-09-13,rom&nd,14,47784,1503,20,
2025-09-13,round lab,23,13463,159,7,
2025-09-13,skin1004,106,141453,2842,122,
2025-09-13,stylekorean,15,9019,105,2,
2025-09-13,stylevana,36,70997,2012,173,
2025-09-13,sulwhasoo,42,55673,2273,134,
2025-09-13,sylfirm,4,1970,11,0,
2025-09-13,tirtir,58,222249,7488,251,
2025-09-13,tonymoly,12,6371,67,6,
2025-09-13,torriden,25,14331,91,4,
2025-09-13,ultraformer,14,7033,40,5,
2025-09-13,wellage,4,2226,28,0,
2025-09-13,yesstyle,327,344049,8765,435,
2025-09-14,a'pieu,2,15625,168,1,
2025-09-14,acropass,1,9,1,0,
2025-09-14,age-r,906,3505432,41690,1012,
2025-09-14,anua,162,231726,5815,210,
2025-09-14,bbia,42,27854,432,7,
2025-09-14,be the skin,1,726,2,0,
2025-09-14,beauty of joseon,58,40127,348,38,
2025-09-14,belif,17,9672,112,1,
2025-09-14,biodance,33,184775,7693,162,
2025-09-14,booster pro,21,7355,237,31,
2025-09-14,cell fusion c,7,8189,91,0,
2025-09-14,centellian,3,550,5,0,
2025-09-14,coolfase,1,1229,5,0,
2025-09-14,cosrx,138,186326,5260,174,
2025-09-14,dalba,44,80235,1267,68,
2025-09-14,goodal,5,2487,13,2,
2025-09-14,history of whoo,4,1819,19,5,
2025-09-14,hwahae,2,1775,27,1,
2025-09-14,innisfree,44,115284,537,106,
2025-09-14,innotox,1,7589,392,77,
2025-09-14,iope,21,136628,4283,101,
2025-09-14,jeuveau,3,256,0,0,
2025-09-14,jolse,6,4280,48,13,
2025-09-14,juvelook,7,1872,17,2,
2025-09-14,laneige,315,1234297,26217,1538,
2025-09-14,letybo,2,458,40,0,
2025-09-14,madeca,6,1209,8,1,
2025-09-14,mamonde,1,8165,188,11,
2025-09-14,manyo,24,14732,745,14,
2025-09-14,medicube,248,211036,3560,181,
2025-09-14,merzy,10,8565,46,0,
2025-09-14,mighty patch,10,6532,57,4,
2025-09-14,missha,29,30656,1126,43,
2025-09-14,mixoon,2,1747,19,2,
2025-09-14,nabota,5,108,0,0,
2025-09-14,numbuzin,41,50322,1586,62,
2025-09-14,ohui,6,1899,14,2,
2025-09-14,oligio,10,6242,43,0,
2025-09-14,olive young,72,122273,3582,219,
2025-09-14,peripera,22,48394,1208,36,
2025-09-14,potenza,196,177597,6869,1035,
2025-09-14,real barrier,1,281,18,0,
2025-09-14,reedle shot,24,42142,758,18,
2025-09-14,rejuran,20,12714,171,23,
2025-09-14,rom&nd,18,50203,1567,21,
2025-09-14,round lab,29,39680,1922,15,
2025-09-14,skin1004,140,276466,7707,173,
2025-09-14,stylekorean,17,9583,111,3,
2025-09-14,stylevana,49,82928,2782,287,
2025-09-14,sulwhasoo,58,61500,2457,138,
2025-09-14,sylfirm,4,1974,11,0,
2025-09-14,the whoo,1,12,1,0,
2025-09-14,tirtir,77,241323,7865,265,
2025-09-14,tonymoly,18,40285,414,14,
2025-09-14,torriden,27,16690,148,17,
2025-09-14,ultraformer,15,7283,42,5,
2025-09-14,volnewmer,1,216,1,0,
2025-09-14,wellage,4,2263,28,0,
2025-09-14,yesstyle,415,409011,10168,498,
2025-09-15,a'pieu,3,26577,247,2,
2025-09-15,acropass,1,9,1,0,
2025-09-15,age-r,1103,5309832,55469,1286,
2025-09-15,anua,208,299863,7997,297,
2025-09-15,bbia,48,31659,456,7,
2025-09-15,be the skin,1,726,2,0,
2025-09-15,beauty of joseon,72,55433,599,48,
2025-09-15,belif,18,10019,121,1,
2025-09-15,biodance,43,210921,8564,169,
2025-09-15,booster pro,24,9854,290,37,
2025-09-15,cell fusion c,9,12276,121,7,
2025-09-15,centellian,3,552,5,0,
2025-09-15,coolfase,1,1226,5,0,
2025-09-15,cosrx,170,211794,5678,185,
2025-09-15,dalba,56,89531,1391,81,
2025-09-15,goodal,7,2820,16,2,
2025-09-15,history of whoo,5,3026,21,6,
2025-09-15,hwahae,3,1983,29,1,
2025-09-15,innisfree,57,129594,4326,111,
2025-09-15,innotox,1,8217,407,85,
2025-09-15,iope,28,172460,5301,119,
2025-09-15,jeuveau,3,294,0,0,
2025-09-15,jolse,7,6013,59,19,
2025-09-15,juvelook,8,2015,20,2,
2025-09-15,laneige,382,1642414,34108,2032,
2025-09-15,letybo,2,525,43,0,
2025-09-15,madeca,8,2101,17,1,
2025-09-15,mamonde,2,9112,202,11,
2025-09-15,manyo,34,19692,933,26,
2025-09-15,medicube,313,272564,5621,307,
2025-09-15,merzy,14,11078,76,1,
2025-09-15,mighty patch,15,8823,68,4,
2025-09-15,missha,35,46461,1444,52,
2025-09-15,mixoon,3,3011,29,2,
2025-09-15,nabota,6,154,2,0,
2025-09-15,newlux,1,0,0,1,
2025-09-15,numbuzin,55,64708,1818,70,
2025-09-15,ohui,8,2244,19,3,
2025-09-15,oligio,14,10823,172,0,
2025-09-15,olive young,92,196489,5443,282,
2025-09-15,peripera,29,60814,1474,47,
2025-09-15,potenza,243,234175,8157,1167,
2025-09-15,real barrier,2,465,40,0,
2025-09-15,reedle shot,29,49061,883,18,
2025-09-15,rejuran,33,15136,196,25,
2025-09-15,rom&nd,24,60540,1790,22,
2025-09-15,round lab,36,63184,2276,18,
2025-09-15,skin1004,171,351142,9560,208,
2025-09-15,stylekorean,20,11458,137,4,
2025-09-15,stylevana,55,91684,3000,312,
2025-09-15,sulwhasoo,65,68314,2585,140,
2025-09-15,sylfirm,5,2101,11,0,
2025-09-15,the whoo,1,15,1,0,
2025-09-15,tirtir,89,272787,8652,283,
2025-09-15,tonymoly,20,70908,573,15,
2025-09-15,torriden,35,20039,370,33,
2025-09-15,ultraformer,24,8465,47,5,
2025-09-15,volnewmer,2,347,2,0,
2025-09-15,wellage,4,2329,29,0,
2025-09-15,yesstyle,494,553609,14600,676,
