video_id,brand,published_at_utc,channel_id,channel_title,first_seen_utc,matched_fields
zPtXNyktMiA,yesstyle,2025-09-11,UC0Ujs3ZrlE-EGRCmi1jXoZA,Ligia 💋,2025-09-12T00:21:52.556572+00:00,title|description|tags
edYin8R7Lkg,yesstyle,2025-09-11,UCMB4VmNVXiWE41VJtZrZu0Q,Yu Yi,2025-09-12T00:21:52.556641+00:00,title|description|tags
olHaubd7heU,yesstyle,2025-09-11,UCyzpXSiz5ppSo_313bVAW_A,Bella Kim Korea,2025-09-12T00:21:52.556724+00:00,title|description|tags
8uE4FCu6wds,yesstyle,2025-09-11,UCNi0t7nLmnv4wztF6p762TQ,Abby,2025-09-12T00:21:52.556749+00:00,title|description|tags
_rarpD03wxg,yesstyle,2025-09-11,UCN2l1YUdRWeux5xmaY3wMWQ,Kalmsea ,2025-09-12T00:21:52.556904+00:00,title|description|tags
NbUgvKrfdSQ,yesstyle,2025-09-11,UCNydtNBg1oJ2vskei_zhKQw,kaisametrine,2025-09-12T00:21:52.556932+00:00,title|description|tags
6hHfvQkGlf0,yesstyle,2025-09-11,UCCDvNHT4ofbzpzIjzUBLvPw,Raziiiell’s Journal ,2025-09-12T00:21:52.556953+00:00,title|description|tags
xcMICv7Kovo,yesstyle,2025-09-11,UCqmyqgzLaMpAeHsHnuIEHdA,Soy Dani Suarez,2025-09-12T00:21:52.556969+00:00,title|description|tags
K6S-NvZklW8,yesstyle,2025-09-11,UCVRqF4H7agcJ3c5l949vZ7Q,Tarannum A Khan ,2025-09-12T00:21:52.556992+00:00,title|description|tags
9pU4KUg6P2g,yesstyle,2025-09-11,UCxc3WV3-mWGDLG7E6iLtReA,Yeseniia,2025-09-12T00:21:52.557007+00:00,title|description|tags
jH3SbT4GI5E,yesstyle,2025-09-11,UCrsljA0XrK_JYn2hSCZhodA,Memuka,2025-09-12T00:21:52.557026+00:00,title|description|tags
dWdxW_9cmb4,yesstyle,2025-09-11,UCw0r_QdIHRSZJDEN8p5AiZA,Mind & Shine,2025-09-12T00:21:52.557044+00:00,title|description|tags
7yliqveJqcU,yesstyle,2025-09-11,UCJ-qwTWXtjc0l1Edv4DEH9g,Nicol,2025-09-12T00:21:52.557064+00:00,title|description|tags
rf2JerLrnL0,yesstyle,2025-09-11,UCJ-qwTWXtjc0l1Edv4DEH9g,Nicol,2025-09-12T00:21:52.557084+00:00,title|description|tags
8yiccqQ-uk8,yesstyle,2025-09-11,UC1wQ2mkzWX8ju4RTRtT1kcQ,YesStyle active code💲💶,2025-09-12T00:21:52.557105+00:00,title|description|tags
J3x0cbuDJ7M,yesstyle,2025-09-11,UCVNA4a-HsOAZHK1FUdxbMGA,Ilfz,2025-09-12T00:21:52.557121+00:00,title|description|tags
77rVNWheTYk,yesstyle,2025-09-11,UCYEQwpXj25HBBqVS53rJW9A,Cozmifyy,2025-09-12T00:21:52.557140+00:00,title|description|tags
Z42LYOTkGMA,yesstyle,2025-09-11,UC2i3ftDodHttWngXyIfPJYA,PrimePicks,2025-09-12T00:21:52.557161+00:00,title|description|tags
u-cIvsA_vB4,yesstyle,2025-09-11,UC7Y5LHRGmcucx0uYmOZxGZA,madangryellenn,2025-09-12T00:21:52.557182+00:00,title|description|tags
Z4iow-v_cF8,yesstyle,2025-09-11,UCJKXMU7EaYz9heM2xvrEctQ,roma_ugc_creator,2025-09-12T00:21:52.557202+00:00,title|description|tags
78iPtnsGlvM,yesstyle,2025-09-11,UCD1-7ktQ2nQMl2SkHHml9zg,sonyabloomberg,2025-09-12T00:21:52.557222+00:00,title|description|tags
wSKkletmAJY,yesstyle,2025-09-11,UC1wQ2mkzWX8ju4RTRtT1kcQ,YesStyle active code💲💶,2025-09-12T00:21:52.557242+00:00,title|description|tags
GIu6Udkgykk,yesstyle,2025-09-11,UCENlyuZ4VdCzn8k7BJGjj2Q,Fads trends ,2025-09-12T00:21:52.557260+00:00,title|description|tags
4K2z9FjKrLo,yesstyle,2025-09-11,UCO-CEWr6HnxKKT1LddqE8bg,Teni,2025-09-12T00:21:52.557277+00:00,title|description|tags
MsA6iorInOY,yesstyle,2025-09-11,UC9P9YbUgitfioR6zLPd2wzw,Worldbeautyandglo,2025-09-12T00:21:52.557295+00:00,title|description|tags
f5HwksONcJU,yesstyle,2025-09-11,UC9Iyc35KPLt4C8cMGnxGxUQ,Yashi Lifestyle,2025-09-12T00:21:52.557312+00:00,title|description|tags
ZXF1STFKgeY,yesstyle,2025-09-11,UCAGM5m7c_KPVezm4tDsLEpw,Kashaf Mushtaq,2025-09-12T00:21:52.557344+00:00,title|description|tags
hBP794wSJcA,yesstyle,2025-09-11,UCap7IWO5D98RSSJH6SCDLpw,leana nova💗,2025-09-12T00:21:52.557401+00:00,title|description|tags
c3N60rASbFw,yesstyle,2025-09-11,UCAgu9I6ajHJDptZkCiFPBfg,Skincare🩷makeup ,2025-09-12T00:21:52.557420+00:00,title|description|tags
nHu_I3LHWuM,yesstyle,2025-09-11,UC-g-UIuofE0_tZykG-0KILw,𝓪𝓷𝓰𝓮𝓵 🧴🫧,2025-09-12T00:21:52.557437+00:00,title|description|tags
