video_id,as_of_date_utc,viewCount,likeCount,commentCount
zPtXNyktMiA,2025-09-11,1377,27,1
edYin8R7Lkg,2025-09-11,240,0,0
olHaubd7heU,2025-09-11,195,1,0
8uE4FCu6wds,2025-09-11,12,1,0
_rarpD03wxg,2025-09-11,392,4,2
NbUgvKrfdSQ,2025-09-11,1263,46,8
6hHfvQkGlf0,2025-09-11,282,1,0
xcMICv7Kovo,2025-09-11,324,5,0
K6S-NvZklW8,2025-09-11,940,48,0
9pU4KUg6P2g,2025-09-11,223,4,4
jH3SbT4GI5E,2025-09-11,1078,16,0
dWdxW_9cmb4,2025-09-11,89,0,0
7yliqveJqcU,2025-09-11,0,0,0
rf2JerLrnL0,2025-09-11,2,0,0
8yiccqQ-uk8,2025-09-11,39,0,0
J3x0cbuDJ7M,2025-09-11,1819,12,0
77rVNWheTYk,2025-09-11,1503,16,0
Z42LYOTkGMA,2025-09-11,1825,11,0
u-cIvsA_vB4,2025-09-11,2,0,0
Z4iow-v_cF8,2025-09-11,1608,24,6
78iPtnsGlvM,2025-09-11,1260,11,0
wSKkletmAJY,2025-09-11,147,0,0
GIu6Udkgykk,2025-09-11,22,3,0
4K2z9FjKrLo,2025-09-11,416,22,0
MsA6iorInOY,2025-09-11,159,4,1
f5HwksONcJU,2025-09-11,16,4,0
ZXF1STFKgeY,2025-09-11,412,38,0
hBP794wSJcA,2025-09-11,3,0,0
c3N60rASbFw,2025-09-11,285,3,0
nHu_I3LHWuM,2025-09-11,229,4,0
jK1nMpnV-xI,2025-09-11,1712,0,1
nStpuCDjRiA,2025-09-11,16,0,0
g7Me56_tavo,2025-09-11,109,1,0
_3Ip5HuUSLQ,2025-09-11,186,2,0
MJ67fjtKWJs,2025-09-11,1195,25,1
DtYc27WsdOI,2025-09-11,585,65,3
Uy1QJ2alBhs,2025-09-11,194,2,0
k-YHTmnXYas,2025-09-11,48,1,0
8hZMD-Gbbxo,2025-09-11,258,0,0
bUVRqnYtnnM,2025-09-11,1283,12,1
sjIZhmVYAMg,2025-09-11,80,0,0
-wY-e64Ggv0,2025-09-11,17275,926,10
pMwBdzHeJeA,2025-09-11,525,5,0
4LKLSrMZaMw,2025-09-11,150,1,0
cvCnJ0aD9Uk,2025-09-11,3608,0,0
dLHi-SCC-R0,2025-09-11,234,3,0
RAFqWCMSemA,2025-09-11,277,6,0
xJz3kB5FxqA,2025-09-11,496,18,0
1PyKubNOW_M,2025-09-11,1393,13,0
QzLQn17MxBg,2025-09-11,828,6,0
Oc6oWpjY9L0,2025-09-11,32,4,0
XbBwqU4fcrA,2025-09-11,34,4,0
lXUE6Gp88Xk,2025-09-11,218,3,0
zQBhPbUqC-k,2025-09-11,388,0,0
wcL3CGQhOz8,2025-09-11,406,4,0
0heJqNAf1AE,2025-09-11,59,0,0
WPbfDjuh2ho,2025-09-11,581,11,1
TJe-OcRSquo,2025-09-11,98,1,0
26xh55F0tgA,2025-09-11,600,15,4
S-qtAxNd-bM,2025-09-11,44,5,4
pVCnYnS-qr8,2025-09-11,112,0,0
tQ6uOxJp-cM,2025-09-11,432,3,0
yh7cdLkRVyw,2025-09-11,329,1,0
qS2dkw8pEDs,2025-09-11,2,0,0
E2D8DfSTzOw,2025-09-11,11,2,0
DHln1wZ-Z6c,2025-09-11,140,1,0
_FS9W8sSB7U,2025-09-11,135,3,0
3NZsRMAaayI,2025-09-11,157,10,6
E71jKmwwQIQ,2025-09-11,3844,66,0
eSv1_8VT8yw,2025-09-11,373,10,0
VrfkLWibWww,2025-09-11,1145,3,0
Di9cD5Zwyyo,2025-09-11,62,0,0
MJq-ATnMrTU,2025-09-11,144,1,0
LOEJHN1sF2w,2025-09-11,1111,20,2
LNX-Vr7JPiQ,2025-09-11,819,24,0
ae5teML9Ekc,2025-09-11,131,1,0
_oZDFoxihvE,2025-09-11,1,1,0
5eQ5ncRYsfA,2025-09-11,351,0,0
6lEvb77TeyM,2025-09-11,7,0,0
x_t1dI8abnA,2025-09-11,121,1,0
BhzixDxePkE,2025-09-11,224,2,0
iymR3XwJCjk,2025-09-11,1008,94,13
CVUEfxgzqfE,2025-09-11,43,0,0
icJKUptiQrk,2025-09-11,12,2,0
YJK_jJBtsB4,2025-09-11,394,1,0
qSQjJN0SISE,2025-09-11,126,0,0
I0YAkFDiSgg,2025-09-11,56,1,0
xZRiZoH_xgo,2025-09-11,163,8,3
c-qE8m1W1LQ,2025-09-11,1989,202,15
gBlFfTkqWGk,2025-09-11,1873,23,0
EnpkYaJvKlU,2025-09-11,47,1,0
uxC2gXlaAn0,2025-09-11,1189,18,0
8VYJkbxtVdE,2025-09-11,1232,124,9
_iFCyO3dX6I,2025-09-11,94,0,0
zkj2qYflfUs,2025-09-11,295,2,3
9gSoo6VUz_M,2025-09-11,2286,47,3
vGAzqPD8p9U,2025-09-11,92,1,0
-trwJmZrAD8,2025-09-11,3,0,0
w51OZq77T1o,2025-09-11,2571,158,0
GGS_uJ85QGk,2025-09-11,765,21,0
CSsR58ZVxmc,2025-09-11,1438,64,3
JPtPIFQhi2k,2025-09-11,4,1,0
DZmphm0_mRY,2025-09-11,216,25,2
IKaqaMHTO_U,2025-09-11,180,2,0
AQrYj5AuUDA,2025-09-11,182,0,0
GxWs6V-ZRig,2025-09-11,389,5,0
3oAmPuFPh_0,2025-09-11,1634,38,0
mKRCh6feAcs,2025-09-11,1577,97,16
SN1a7Ay4Lq0,2025-09-11,514,61,5
JBuuKKbKIjE,2025-09-11,1701,9,0
ec7Vrq_dGHU,2025-09-11,103,0,0
