date,brand,as_of_date_utc,video_mentions,views,likes,comments,top_channels
2025-08-28,bibigo,2025-09-03,0,0,0,0,
2025-09-05,samyang,2025-09-08,72,295105,7147,92,Nindi Choi Channel ;Elfie Studios;Tafakoer
2025-09-05,pulmuone,2025-09-08,1,361,6,0,푸드스타일리스트김윤정 _ 그린테이블
2025-09-05,nongshim,2025-09-08,14,6770,78,13,Go Inside;Loleventvods - LoL Esports: VODs & Montages;농심 nongshim
2025-09-05,jin ramen,2025-09-08,5,10244,535,11,♉️jen;ᴇʟʟᴇ ꜱᴛᴜᴅɪᴏ;Papa's Food Log
2025-09-05,chum churum,2025-09-08,1,176,1,0,Chum Churum Official
2025-09-05,buldak,2025-09-08,200,2581911,81541,1859,Kim&Liz Too;버들Buddle;The ASMR Bro
2025-09-05,bibigo,2025-09-08,5,45335,2496,33,Bretman and Friends;Tela Tv;헬창의 냉동창고
2025-09-04,shin ramyun,2025-09-08,14,434522,1630,260,치카홀릭;esyfilms;Yenster's Korean Eats
2025-09-04,shin ramen,2025-09-08,7,357051,113,14,Immy;Home recipes and eating ;stevoeats
2025-09-04,samyang,2025-09-08,80,561440,8619,167,Mak mpom;Tina Mini Cooking;Nindi Choi Channel 
2025-09-04,pulmuone,2025-09-08,0,0,0,0,
2025-09-04,nongshim,2025-09-08,9,358606,100,31,Go Inside;Immy;Fa
2025-09-05,shin ramen,2025-09-08,6,3904,62,3,Home recipes and eating ;Cute Dog Kiki In New York;Greg Paul
2025-09-04,jin ramen,2025-09-08,2,6780,52,1,맥스푸드MAXFOOD;Papa's Food Log
2025-09-04,buldak,2025-09-08,189,1540050,36977,764,문복희 Eat with Boki;aimschia;Donai mukbang
2025-09-04,bibigo,2025-09-08,3,2935,23,0,Tasty Realm;bibigo Vietnam;BapTable
2025-09-03,shin ramyun,2025-09-08,7,8878,119,4,Supermercado Otugui;shaonika saha;agrawal 
2025-09-03,shin ramen,2025-09-08,7,67784,3281,63,irene kim 김예린;wannabechefmatt;Delta
2025-09-03,samyang,2025-09-08,87,536497,8451,218,Bé Là Shima;KelvanH;Lilian Grimmxandra【AKA Virtual】
2025-09-03,pulmuone,2025-09-08,1,918,9,1,Andy Shen
2025-09-03,nongshim,2025-09-08,18,32179,680,10,Loleventvods - LoL Esports: VODs & Montages;NS RedForce;BusyGamersOfficial
2025-09-03,jin ramen,2025-09-08,3,7529,112,8,Foodtrip rangerTV;Cath Official Vlog;Korean Ahjussi
2025-09-03,chum churum,2025-09-08,0,0,0,0,
2025-09-03,buldak,2025-09-08,230,1914774,52198,2391,Kim&Liz ASMR;HONG SOUND;Alivia Donai 
2025-09-03,bibigo,2025-09-08,5,29746,275,15,"Mystery Maven;뚝사마의 피자놀이 ddooksama ピザ遊び Ehi, la pizza.;Cabreranali"
2025-09-02,shin ramyun,2025-09-08,0,0,0,0,
2025-09-04,chum churum,2025-09-08,0,0,0,0,
2025-09-05,shin ramyun,2025-09-08,9,107739,924,23,인싸요정;Rachel Jhan;Roman Roman
2025-09-06,bibigo,2025-09-08,1,34,0,0,BapTable
2025-09-06,buldak,2025-09-08,236,1156037,34019,814,Joseph Anthonii;HelloBaddieSanrio;У Макса
2025-09-08,shin ramyun,2025-09-08,12,8798,72,2,BrightHema;Nongshim Global;Bite Me
2025-09-08,shin ramen,2025-09-08,6,6350,250,3,Randy food;Bite Me;everydaychaos
2025-09-08,samyang,2025-09-08,71,127147,3403,139,N.E Let's Eat;Davina dan Zizi;Hoa-ASMR
2025-09-08,pulmuone,2025-09-08,1,7639,405,10,N.E Let's Eat
2025-09-08,nongshim,2025-09-08,12,13129,249,34,У Макса;달려라 버스 Dalida Bus;BusyGamersOfficial
2025-09-08,jin ramen,2025-09-08,4,3234,26,2,DumDum;Janzyyasmr;K-Ramen Shorts
2025-09-08,chum churum,2025-09-08,0,0,0,0,
2025-09-08,buldak,2025-09-08,196,439900,11385,513,N.E Let's Eat;У Макса;LovelyMimi
2025-09-08,bibigo,2025-09-08,3,1635,0,0,Augsky_Saturn;BapTable;ChewsForViews
2025-09-07,shin ramyun,2025-09-08,16,67845,450,58,Hari Karuna Rai;치카홀릭;Bake it Simple
2025-09-07,shin ramen,2025-09-08,9,23553,261,20,Ishinoshi;Bubblelina's Adventures!;Feureau's Laboratory
2025-09-07,samyang,2025-09-08,93,546483,31840,439,Gaby Jovita;Jon Cit;Tina Mini Cooking
2025-09-07,pulmuone,2025-09-08,0,0,0,0,
2025-09-07,nongshim,2025-09-08,9,161455,3676,220,Caedrel;Jon Cit;Loleventvods - LoL Esports: VODs & Montages
2025-09-07,jin ramen,2025-09-08,2,2071,43,3,nene1204;Easy Peasy K-food
2025-09-07,chum churum,2025-09-08,0,0,0,0,
2025-09-07,buldak,2025-09-08,220,1337057,44939,814,Tina Mini Cooking;Stoney Choi;aimschia
2025-09-07,bibigo,2025-09-08,1,15,0,0,bibigo Vietnam
2025-09-06,shin ramyun,2025-09-08,12,63317,1257,61,T & Lee T.V.;FastFoodGuy;Sheffy
2025-09-06,shin ramen,2025-09-08,6,58393,1193,46,Yangpoonee 양푼이;FastFoodGuy;𝓑𝓡𝓔𝓝𝓓𝓐 𝓛𝓞𝓥𝓔
2025-09-06,samyang,2025-09-08,79,509433,25511,259,Stera Video;Ini Cia;Tina Mini Cooking
2025-09-06,pulmuone,2025-09-08,1,2,0,0,Yumding 윰딩
2025-09-06,nongshim,2025-09-08,12,6392,194,32,T & Lee T.V.;Go Inside;BusyGamersOfficial
2025-09-06,jin ramen,2025-09-08,6,52218,771,41,한식클라쓰;Annyka;taekenbysurprise
2025-09-06,chum churum,2025-09-08,0,0,0,0,
2025-09-02,shin ramen,2025-09-08,0,0,0,0,
2025-09-02,samyang,2025-09-08,0,0,0,0,
2025-09-02,pulmuone,2025-09-08,0,0,0,0,
2025-09-02,nongshim,2025-09-08,0,0,0,0,
2025-09-04,shin ramyun,2025-09-07,14,434405,1630,260,치카홀릭;esyfilms;Yenster's Korean Eats
2025-09-04,shin ramen,2025-09-07,7,356929,112,14,Immy;Home recipes and eating ;stevoeats
2025-09-04,samyang,2025-09-07,80,561871,8615,167,Mak mpom;Tina Mini Cooking;Nindi Choi Channel 
2025-09-04,pulmuone,2025-09-07,0,0,0,0,
2025-09-04,nongshim,2025-09-07,9,358501,100,31,Go Inside;Immy;Fa
2025-09-04,jin ramen,2025-09-07,2,6780,52,1,맥스푸드MAXFOOD;Papa's Food Log
2025-09-04,chum churum,2025-09-07,0,0,0,0,
2025-09-04,buldak,2025-09-07,189,1540168,36968,764,문복희 Eat with Boki;aimschia;Donai mukbang
2025-09-04,bibigo,2025-09-07,3,2935,23,0,Tasty Realm;bibigo Vietnam;BapTable
2025-09-03,shin ramyun,2025-09-07,7,8878,119,4,Supermercado Otugui;shaonika saha;agrawal 
2025-09-03,shin ramen,2025-09-07,7,67775,3281,63,irene kim 김예린;wannabechefmatt;Delta
2025-09-03,samyang,2025-09-07,87,536470,8449,218,Bé Là Shima;KelvanH;Lilian Grimmxandra【AKA Virtual】
2025-09-03,pulmuone,2025-09-07,1,918,9,1,Andy Shen
2025-09-03,nongshim,2025-09-07,18,32178,680,10,Loleventvods - LoL Esports: VODs & Montages;NS RedForce;BusyGamersOfficial
2025-09-03,jin ramen,2025-09-07,3,7529,112,8,Foodtrip rangerTV;Cath Official Vlog;Korean Ahjussi
2025-09-03,chum churum,2025-09-07,0,0,0,0,
2025-09-03,buldak,2025-09-07,230,1914021,52192,2391,Kim&Liz ASMR;HONG SOUND;Alivia Donai 
2025-09-03,bibigo,2025-09-07,5,29746,275,15,"Mystery Maven;뚝사마의 피자놀이 ddooksama ピザ遊び Ehi, la pizza.;Cabreranali"
2025-09-02,shin ramyun,2025-09-07,0,0,0,0,
2025-09-02,shin ramen,2025-09-07,0,0,0,0,
2025-09-02,samyang,2025-09-07,0,0,0,0,
2025-09-02,pulmuone,2025-09-07,0,0,0,0,
2025-09-02,nongshim,2025-09-07,0,0,0,0,
2025-09-02,jin ramen,2025-09-07,0,0,0,0,
2025-09-02,chum churum,2025-09-07,0,0,0,0,
2025-09-02,buldak,2025-09-07,0,0,0,0,
2025-09-02,bibigo,2025-09-07,0,0,0,0,
2025-09-05,bibigo,2025-09-07,5,45307,2496,33,Bretman and Friends;Tela Tv;헬창의 냉동창고
2025-09-03,chum churum,2025-09-09,0,0,0,0,
2025-09-05,buldak,2025-09-07,200,2580166,81510,1859,Kim&Liz Too;버들Buddle;The ASMR Bro
2025-09-05,jin ramen,2025-09-07,5,10231,533,11,♉️jen;ᴇʟʟᴇ ꜱᴛᴜᴅɪᴏ;Papa's Food Log
2025-09-02,jin ramen,2025-09-08,0,0,0,0,
2025-09-02,chum churum,2025-09-08,0,0,0,0,
2025-09-02,buldak,2025-09-08,0,0,0,0,
2025-09-02,bibigo,2025-09-08,0,0,0,0,
2025-09-07,shin ramyun,2025-09-07,16,67721,450,58,Hari Karuna Rai;치카홀릭;Bake it Simple
2025-09-07,shin ramen,2025-09-07,9,23528,261,20,Ishinoshi;Bubblelina's Adventures!;Feureau's Laboratory
2025-09-07,samyang,2025-09-07,93,546328,31833,439,Gaby Jovita;Jon Cit;Tina Mini Cooking
2025-09-07,pulmuone,2025-09-07,0,0,0,0,
2025-09-07,nongshim,2025-09-07,9,161214,3674,220,Caedrel;Jon Cit;Loleventvods - LoL Esports: VODs & Montages
2025-09-07,jin ramen,2025-09-07,2,2071,43,3,nene1204;Easy Peasy K-food
2025-09-07,chum churum,2025-09-07,0,0,0,0,
2025-09-07,buldak,2025-09-07,220,1334825,44898,813,Tina Mini Cooking;Stoney Choi;aimschia
2025-09-07,bibigo,2025-09-07,1,14,0,0,bibigo Vietnam
2025-09-06,shin ramyun,2025-09-07,12,63271,1257,61,T & Lee T.V.;FastFoodGuy;Sheffy
2025-09-06,shin ramen,2025-09-07,6,58379,1193,46,Yangpoonee 양푼이;FastFoodGuy;𝓑𝓡𝓔𝓝𝓓𝓐 𝓛𝓞𝓥𝓔
2025-09-06,samyang,2025-09-07,79,509206,25507,259,Stera Video;Ini Cia;Tina Mini Cooking
2025-09-06,pulmuone,2025-09-07,1,2,0,0,Yumding 윰딩
2025-09-06,nongshim,2025-09-07,12,6392,194,32,T & Lee T.V.;Go Inside;BusyGamersOfficial
2025-09-06,jin ramen,2025-09-07,6,52269,770,41,한식클라쓰;Annyka;taekenbysurprise
2025-09-06,chum churum,2025-09-07,0,0,0,0,
2025-09-06,buldak,2025-09-07,236,1155465,34007,811,Joseph Anthonii;HelloBaddieSanrio;У Макса
2025-09-06,bibigo,2025-09-07,1,34,0,0,BapTable
2025-09-05,shin ramyun,2025-09-07,9,107722,923,23,인싸요정;Rachel Jhan;Roman Roman
2025-09-05,shin ramen,2025-09-07,6,3882,62,3,Home recipes and eating ;Cute Dog Kiki In New York;Greg Paul
2025-09-05,samyang,2025-09-07,72,295147,7150,92,Nindi Choi Channel ;Elfie Studios;Tafakoer
2025-09-05,pulmuone,2025-09-07,1,361,6,0,푸드스타일리스트김윤정 _ 그린테이블
2025-09-05,nongshim,2025-09-07,14,6770,78,13,Go Inside;Loleventvods - LoL Esports: VODs & Montages;농심 nongshim
2025-09-05,chum churum,2025-09-07,1,176,1,0,Chum Churum Official
2025-09-01,shin ramyun,2025-09-07,0,0,0,0,
2025-09-03,pulmuone,2025-09-09,1,919,9,1,Andy Shen
2025-09-07,nongshim,2025-09-10,9,210207,4063,215,Caedrel;Jon Cit;Loleventvods - LoL Esports: VODs & Montages
2025-09-07,jin ramen,2025-09-10,2,2281,64,5,nene1204;Easy Peasy K-food
2025-09-07,chum churum,2025-09-10,0,0,0,0,
2025-09-07,buldak,2025-09-10,220,2370424,71841,1160,Tina Mini Cooking;Stoney Choi;aimschia
2025-09-07,bibigo,2025-09-10,1,21,0,0,bibigo Vietnam
2025-09-06,shin ramyun,2025-09-10,12,78716,1614,70,T & Lee T.V.;FastFoodGuy;Sheffy
2025-09-06,shin ramen,2025-09-10,6,67547,1298,50,Yangpoonee 양푼이;FastFoodGuy;𝓑𝓡𝓔𝓝𝓓𝓐 𝓛𝓞𝓥𝓔
2025-09-06,samyang,2025-09-10,79,711406,29271,278,Stera Video;Ini Cia;Tina Mini Cooking
2025-09-06,pulmuone,2025-09-10,1,2,0,0,Yumding 윰딩
2025-09-06,nongshim,2025-09-10,12,6794,222,32,T & Lee T.V.;Go Inside;BusyGamersOfficial
2025-09-06,jin ramen,2025-09-10,6,64389,969,46,한식클라쓰;Annyka;taekenbysurprise
2025-09-06,chum churum,2025-09-10,0,0,0,0,
2025-09-07,pulmuone,2025-09-10,0,0,0,0,
2025-09-06,buldak,2025-09-10,236,1492292,42461,928,Joseph Anthonii;HelloBaddieSanrio;У Макса
2025-09-05,shin ramyun,2025-09-10,9,119119,1006,23,인싸요정;Rachel Jhan;Roman Roman
2025-09-05,shin ramen,2025-09-10,6,3988,64,3,Home recipes and eating ;Cute Dog Kiki In New York;Greg Paul
2025-09-05,samyang,2025-09-10,72,351396,8414,100,Elfie Studios;Nindi Choi Channel ;Tafakoer
2025-09-05,pulmuone,2025-09-10,1,371,7,0,푸드스타일리스트김윤정 _ 그린테이블
2025-09-05,nongshim,2025-09-10,14,7008,80,13,Go Inside;Loleventvods - LoL Esports: VODs & Montages;농심 nongshim
2025-09-05,jin ramen,2025-09-10,5,10947,532,11,♉️jen;ᴇʟʟᴇ ꜱᴛᴜᴅɪᴏ;Papa's Food Log
2025-09-05,chum churum,2025-09-10,1,180,1,0,Chum Churum Official
2025-09-05,buldak,2025-09-10,200,3740653,102235,2051,Kim&Liz Too;버들Buddle;The ASMR Bro
2025-09-05,bibigo,2025-09-10,5,48028,2582,36,Bretman and Friends;Tela Tv;헬창의 냉동창고
2025-09-04,shin ramyun,2025-09-10,14,590685,1778,311,치카홀릭;esyfilms;Yenster's Korean Eats
2025-09-04,shin ramen,2025-09-10,7,503961,125,14,Immy;Home recipes and eating ;stevoeats
2025-09-04,samyang,2025-09-10,80,557401,3749,74,Mak mpom;DumDum;Mafiatrang
2025-09-06,bibigo,2025-09-10,1,41,0,0,BapTable
2025-09-07,samyang,2025-09-10,93,703840,35821,507,Gaby Jovita;Jon Cit;Tina Mini Cooking
2025-09-07,shin ramen,2025-09-10,9,32340,336,19,Ishinoshi;Bubblelina's Adventures!;暴走萝卜03
2025-09-07,shin ramyun,2025-09-10,16,92338,672,72,Hari Karuna Rai;치카홀릭;Bake it Simple
2025-09-10,shin ramyun,2025-09-10,12,12472,211,12,Dhanashree Sawant;HomeCookJournal;The Ramen Room
2025-09-10,shin ramen,2025-09-10,15,54127,244,18,HomeCookJournal;The Ramen Room;Immy
2025-09-10,samyang,2025-09-10,72,140306,9131,306,Tina ASMR ;Tina Mini Cooking;Hoa-ASMR
2025-09-10,pulmuone,2025-09-10,0,0,0,0,
2025-09-10,nongshim,2025-09-10,15,64187,220,12,달려라 버스 Dalida Bus;Dhanashree Sawant;Carters Eat
2025-09-10,jin ramen,2025-09-10,9,7015,79,16,Mukbang with JOLINA 🌻;Kelly ♡;K - Star TV 1995
2025-09-10,chum churum,2025-09-10,0,0,0,0,
2025-09-10,buldak,2025-09-10,194,405087,22101,765,Kim&Liz ASMR;Kim&Liz Too;SOTTO TV10
2025-09-10,bibigo,2025-09-10,4,3683,25,1,sơ ri Minh Khuê vlog channel;Anna Jung Korea;BapTable
2025-09-09,shin ramyun,2025-09-10,13,92127,682,16,달려라 버스 Dalida Bus;TripleY小袜塞;annie antonio
2025-09-09,shin ramen,2025-09-10,7,42717,305,26,Rochelle Cha;Bubble Maan;FloriaVibes
2025-09-09,samyang,2025-09-10,61,251238,17690,309,Nor Ranita;Adi Dharma;Khaira Khafi Daily
2025-09-09,pulmuone,2025-09-10,0,0,0,0,
2025-09-09,nongshim,2025-09-10,10,42227,286,3,달려라 버스 Dalida Bus;LCK Tiếng Việt;Ondřej Kruml
