video_id,brand,published_at_utc,channel_id,channel_title,first_seen_utc,matched_fields
VDWbrSZT7nQ,buldak,2025-09-03,UC2fxIByCbgCvK6W1cZzzycA,Bite Boss,2025-09-04 08:35:53.910578+00:00,title|description|tags
-fctryg0TJU,buldak,2025-09-08,UCKBtPG4ZH9aybAq3BR-NLnQ,Muffinify ´༥`,2025-09-09 00:05:22.721629+00:00,title|description|tags
wiyjrcX4hh0,buldak,2025-09-08,UCxn3Jkj9zvKiFvwdHO38Gzw,Akotik,2025-09-09 00:05:22.721646+00:00,title|description|tags
g-1-i71C7lE,buldak,2025-09-08,UCOIkgS-PKlN05WzMG_AW4jQ,Mirazius,2025-09-09 00:05:22.721673+00:00,title|description|tags
iPm9orvsgfo,buldak,2025-09-08,UC57UbX16tRrSxRYo5bis_hw,FAMILY_FEAST_FOLLIES,2025-09-09 00:05:22.721699+00:00,title|description|tags
wojNu84IpXs,buldak,2025-09-08,UCfC3oV91CP3G4naeId9kjxQ,Cook What You Got,2025-09-09 00:05:22.721713+00:00,title|description|tags
BdK-YU1MTC8,buldak,2025-09-08,UCoflSxJc8ULqK9bpFHViEkQ,CRISPY asmr eating,2025-09-09 00:05:22.721742+00:00,title|description|tags
x9AiafAMAMY,buldak,2025-09-08,UCxxRTRIJRhRbmjAPSGEV_BQ,CommentMukbang,2025-09-09 00:05:22.721615+00:00,title|description|tags
Qt7sZL6cjvw,buldak,2025-09-08,UCstqdrWrmWLb6apzP70WrXA,★𝒷𝒶𝓈𝓈𝒾ℯ☆,2025-09-09 00:05:22.721792+00:00,title|description|tags
hFOwgDwCejA,buldak,2025-09-08,UCxmeqy0Znv6tHooQPCi3hQQ,nehir𐙚,2025-09-09 00:05:22.721922+00:00,title|description|tags
mDXDk1IHKcQ,buldak,2025-09-08,UCym3j21NbY5SIFXwl7YEXag,GainsWithdan,2025-09-09 00:05:22.721945+00:00,title|description|tags
RectUxSxfkI,buldak,2025-09-08,UC7kvWXIVeLXLW1UrE_Rb5vA,Radz Kitchen ASMR,2025-09-09 00:05:22.721968+00:00,title|description|tags
9HzbBxnsA5o,buldak,2025-09-08,UCscxAkekDE1YiBnYVaMzCaQ, Official Chahat vlogs ,2025-09-09 00:05:22.721997+00:00,title|description|tags
JJvRRRp8-UE,buldak,2025-09-08,UCEYC05RI_Gr4RC2Y_qcWg_Q,Cheddar Cheese,2025-09-09 00:05:22.722012+00:00,title|description|tags
k2JZD82deIY,buldak,2025-09-08,UCoSjhqi497yXbj46_a4-7BQ,Simply Real Sameeksha,2025-09-09 00:05:22.722035+00:00,title|description|tags
1SlJ8bpGqMk,buldak,2025-09-08,UCm507ppr-tiXf463fmAwNxw,COMBOBITE,2025-09-09 00:05:22.722067+00:00,title|description|tags
Xpn_ATzYRkI,buldak,2025-09-08,UC1O89J_O18zD6xDavVtz5eA,CookTales,2025-09-09 00:05:22.721888+00:00,title|description|tags
jq9VxYNDWQg,buldak,2025-09-08,UCy_7tfnOZZ1hQCTOJNHcrWw,Gisasikdang,2025-09-09 00:05:22.722159+00:00,title|description|tags
