video_id,as_of_date_utc,viewCount,likeCount,commentCount
VDWbrSZT7nQ,2025-09-03,1261,0,3
1EIkHQtQ8Sw,2025-09-09,37,1,0
ADP20n_TrSI,2025-09-09,5,0,0
-V3Hro0qDhM,2025-09-09,20,4,1
9GEwyhXZWIg,2025-09-09,1210,22,4
69sbYlVWi1w,2025-09-09,1008,0,1
VmnumyxsBfU,2025-09-09,0,0,0
sVSIeGq-EE4,2025-09-09,1227,14,0
y__Px2t3OCw,2025-09-09,423,21,10
Klesa3ERcFc,2025-09-09,1135,19,3
2yg6Fi5YfjA,2025-09-09,20,0,0
xy8Cg-Z16mo,2025-09-09,355,0,0
_H3gwc-c__g,2025-09-09,21048,176,18
zFktkfoQVks,2025-09-09,15514,628,66
j_8AwkDkv-s,2025-09-09,863,9,0
n9rqLqCvKbs,2025-09-09,810,12,4
O2O7f64HVvs,2025-09-09,795,9,0
br3BPGEs28Q,2025-09-09,970,14,0
Z5qAGCMXeLs,2025-09-09,214,0,0
yPCaQkcDy4I,2025-09-09,251521,4591,91
pKddCt4SKX4,2025-09-09,2690,22,0
adZC_OV7pqw,2025-09-09,6616,51,0
9u3Qmwz-V0g,2025-09-09,3570,38,7
gploI72-TG4,2025-09-09,923,10,0
WWHoeT3p6H4,2025-09-09,2689,14,3
g2vBQj7XSps,2025-09-09,0,0,0
vAiJLGL3OWA,2025-09-09,117,1,0
T3Lgnk7fh78,2025-09-09,297,38,16
6THCrYge-7U,2025-09-09,3,0,0
aSlNiP31byQ,2025-09-09,2436,37,0
SlrWVKgncq0,2025-09-09,1235,23,4
xu99OBsGmuI,2025-09-09,34861,857,248
iQ8yJLwm3Qw,2025-09-09,8232,317,2
o6qhsRL32rk,2025-09-09,32,3,0
i8_PKLB3u0c,2025-09-09,32542,359,7
-h2WMIgDpF4,2025-09-09,1434,14,4
dkKMaJAUoCg,2025-09-09,1457,9,1
R50wzd9xscA,2025-09-09,1126,26,2
S6PMZ_cvc6A,2025-09-09,81,4,0
p5fz79Xh6Uk,2025-09-09,284,1,1
ar7UJXcngS0,2025-09-09,240,0,0
gncCKY7bL9o,2025-09-09,24716,2414,13
BbwQKr7PEKI,2025-09-09,2,1,0
tDvvqjdrogw,2025-09-09,3,0,0
