report_date_utc,brand,roll7_video_mentions,roll7_views,roll7_likes,roll7_comments,roll7_top_channels
2025-09-09,bibigo,10,12036,627,21,
2025-09-09,binggrae,3,86981,2665,34,
2025-09-09,buldak,175,445274,16326,401,
2025-09-09,chapagetti,3,2377,17,2,
2025-09-09,chilsung,1,9,1,0,
2025-09-09,daesang,2,8844,381,5,
2025-09-09,emart,5,473,4,2,
2025-09-09,havmor,3,1801,33,0,
2025-09-09,jin ramen,6,4484,309,4,
2025-09-09,jinro,1,1213,8,1,
2025-09-09,kooksoondang,1,3,1,0,
2025-09-09,kyochon,1,1470,17,0,
2025-09-09,lotte choco pie,10,34628,244,2,
2025-09-09,lotte mart,8,3162,22,0,
2025-09-09,melona,6,2097,21,4,
2025-09-09,milkis,3,4366,19,0,
2025-09-09,neoguri,1,1389,7,0,
2025-09-09,nongshim,10,26157,185,3,
2025-09-09,orion choco pie,3,3165,25,0,
2025-09-09,otoki,2,3620,34,0,
2025-09-09,ottogi,3,3596,284,4,
2025-09-09,pepero,9,25307,2276,136,
2025-09-09,red baron,6,4474,59,15,
2025-09-09,samyang,60,148751,8853,223,
2025-09-09,sempio,3,14208,588,135,
2025-09-09,shin ramen,12,20526,234,15,
2025-09-09,toomba,2,1306,26,0,
2025-09-09,turtle chips,1,262,0,0,
2025-09-11,bibigo,15,20521,1388,28,
2025-09-11,binggrae,4,222322,5533,47,
2025-09-11,bristol farms,1,386,5,0,
2025-09-11,buldak,355,1710091,53697,1303,
2025-09-11,chapagetti,5,4615,51,4,
2025-09-11,chilsung,1,11,1,0,
2025-09-11,daesang,4,22247,936,7,
2025-09-11,dongwon tuna,1,5123,0,64,
2025-09-11,emart,18,5122,41,4,
2025-09-11,havmor,7,3275,67,3,
2025-09-11,jin ramen,10,14554,910,15,
2025-09-11,jinro,8,1489,22,3,
2025-09-11,kooksoondang,1,4,1,0,
2025-09-11,kyochon,1,1534,24,0,
2025-09-11,lotte choco pie,20,87068,334,4,
2025-09-11,lotte mart,18,10657,95,3,
2025-09-11,maxim coffee,1,24,3,0,
2025-09-11,melona,7,3673,44,6,
2025-09-11,milkis,4,7152,27,0,
2025-09-11,neoguri,2,1457,14,0,
2025-09-11,nongshim,24,81855,597,45,
2025-09-11,orion choco pie,6,8766,76,1,
2025-09-11,otoki,5,6863,57,10,
2025-09-11,ottogi,3,10806,859,6,
2025-09-11,pepero,17,48597,3511,198,
2025-09-11,pulmuone,1,1788,18,0,
2025-09-11,red baron,18,8377,139,37,
2025-09-11,samyang,112,426250,24610,419,
2025-09-11,sempio,6,49330,3136,839,
2025-09-11,shin ramen,27,111725,1589,47,
2025-09-11,toomba,5,7224,169,1,
2025-09-11,turtle chips,2,259,2,2,
2025-09-12,bibigo,24,29159,1855,36,
2025-09-12,binggrae,4,253541,6088,53,
2025-09-12,bristol farms,1,440,6,0,
2025-09-12,buldak,577,3269163,83440,2160,
2025-09-12,chapagetti,11,7805,93,7,
2025-09-12,chilsung,1,12,1,0,
2025-09-12,daesang,6,29930,1262,9,
2025-09-12,dongwon tuna,1,6297,0,69,
2025-09-12,emart,27,7962,64,9,
2025-09-12,havmor,11,7676,190,4,
2025-09-12,jin ramen,15,23756,1106,19,
2025-09-12,jinro,10,2559,29,5,
2025-09-12,kooksoondang,1,4,1,0,
2025-09-12,kyochon,2,2466,51,0,
2025-09-12,lotte choco pie,29,450963,3086,10,
2025-09-12,lotte mart,30,16224,158,7,
2025-09-12,maxim coffee,2,913,8,0,
2025-09-12,melona,11,4860,70,7,
2025-09-12,milkis,7,10160,282,18,
2025-09-12,neoguri,5,1790,23,3,
2025-09-12,nongshim,34,591238,1018,67,
2025-09-12,orion choco pie,6,10580,93,3,
2025-09-12,otoki,5,7019,59,12,
2025-09-12,ottogi,3,13655,1019,6,
2025-09-12,pepero,28,95131,7793,271,
2025-09-12,pulmuone,1,1795,17,0,
2025-09-12,red baron,29,13446,424,41,
2025-09-12,samlip,1,784,62,2,
2025-09-12,samyang,187,601286,34025,734,
2025-09-12,sempio,9,61105,3564,964,
2025-09-12,shin ramen,45,218494,2498,75,
2025-09-12,toomba,11,15936,341,3,
2025-09-12,turtle chips,3,1852,10,2,
2025-09-13,beksul,1,857,1,2,
2025-09-13,bibigo,33,36152,2449,162,
2025-09-13,binggrae,5,302528,6961,62,
2025-09-13,bristol farms,1,452,8,0,
2025-09-13,buldak,795,7023097,149137,3509,
2025-09-13,chapagetti,18,174635,5542,25,
2025-09-13,chilsung,1,12,1,0,
2025-09-13,daesang,8,71499,4149,82,
2025-09-13,dongwon tuna,1,7433,0,78,
2025-09-13,emart,38,39886,501,32,
2025-09-13,havmor,14,45693,969,12,
2025-09-13,jin ramen,21,42120,2308,43,
2025-09-13,jinro,10,2761,31,5,
2025-09-13,kooksoondang,1,4,1,0,
2025-09-13,kyochon,2,2555,61,1,
2025-09-13,lotte choco pie,40,1673306,11033,21,
2025-09-13,lotte mart,53,29660,256,14,
2025-09-13,maxim coffee,2,1013,8,0,
2025-09-13,melona,13,5179,79,7,
2025-09-13,milkis,12,17012,392,37,
2025-09-13,neoguri,8,4365,57,6,
2025-09-13,nongshim,47,1306197,1901,94,
2025-09-13,orion choco pie,6,14632,119,3,
2025-09-13,otoki,7,13928,76,16,
2025-09-13,ottogi,3,15195,1057,7,
2025-09-13,pepero,30,160804,12662,312,
2025-09-13,pulmuone,1,1805,17,0,
2025-09-13,red baron,40,17432,547,59,
2025-09-13,samlip,2,2933,169,3,
2025-09-13,samyang,265,1168993,67143,1195,
2025-09-13,sempio,14,99597,6210,1961,
2025-09-13,shin ramen,64,490547,8067,137,
2025-09-13,starkist,1,338,0,0,
2025-09-13,terra beer,1,1238,7,0,
2025-09-13,toomba,13,51130,3760,19,
2025-09-13,turtle chips,3,1867,9,2,
2025-09-14,beksul,1,861,1,2,
2025-09-14,bibigo,37,39428,2892,244,
