video_id,brand,published_at_utc,channel_id,channel_title,first_seen_utc,matched_fields
3YKSyG4yjSM,jinro,2025-09-09,UCIaglWGudrzpnB2PofPDexw,pen sophanny,2025-09-10T06:32:35.270763+00:00,title|description|tags
N3_OaTJqhsw,daesang,2025-09-09,UCMRtuCCedcRq1mgivX7SVCA,VALOR BANGPINK (AB),2025-09-10T06:32:38.588960+00:00,title|description|tags
8Wrw4m2d6VU,daesang,2025-09-09,UCf-04Oq5xZR_B3jOZ-ORd_Q,JONGSUKNEWSS,2025-09-10T06:32:38.589009+00:00,title|description|tags
2HyHHLb-o_o,buldak,2025-09-09,UCIb3x85pM9KjSFGbZ_kzEJQ,Beast Feasts,2025-09-10T06:32:50.360309+00:00,title|description|tags
JPuX3nubPOw,buldak,2025-09-09,UC-V54HbHOYEM8BB2uVejN0g,AI Meme Studio,2025-09-10T06:32:50.360376+00:00,title|description|tags
oACMJo4ifew,buldak,2025-09-09,UCwWEwgDY4OMWslTIAdc4m5w,Silent Eats with Kris,2025-09-10T06:32:50.360404+00:00,title|description|tags
00mtqL3G-nI,buldak,2025-09-09,UCwdBV54gegT3JOS7VPSMyQA,Та самая фуд-блогер,2025-09-10T06:32:50.360433+00:00,title|description|tags
WeUaradVnxA,buldak,2025-09-09,UCKghanUzhqWjm0sBF4MYMWw,Jessica Walkes,2025-09-10T06:32:50.360450+00:00,title|description|tags
LpmK-bS8i0E,buldak,2025-09-09,UCdQQkTbatZClBmHCfmEbYGQ,Lynda King,2025-09-10T06:32:50.360466+00:00,title|description|tags
4D3mmp04VWA,buldak,2025-09-09,UChtp1anMtCbNN1OiytuplrA,Kitten Squad!,2025-09-10T06:32:50.360482+00:00,title|description|tags
x5lfhWpjXuw,buldak,2025-09-09,UC8dQuk5ON--v42AXKRYFQag,Kelly Tran,2025-09-10T06:32:50.360572+00:00,title|description|tags
X8KASCxvRSU,buldak,2025-09-09,UCoCPwabyYe0PF4QPc2mei5A,🌷Happy girl 🌷,2025-09-10T06:32:50.360592+00:00,title|description|tags
Awbc5JPIPxI,buldak,2025-09-09,UCI13djJYHvpAKLhknDMvOSQ,요리천재 쥬피클,2025-09-10T06:32:50.360615+00:00,title|description|tags
xteg26zq9Sg,buldak,2025-09-09,UC8MtUyPcRfLzOtTxDU6Mv2Q,moodymaze ,2025-09-10T06:32:50.360671+00:00,title|description|tags
OsLF2sWUL-U,buldak,2025-09-09,UC8gZFJNQ5mCA2P9RsRNbaCw,Viva.ai_yum ,2025-09-10T06:32:50.360688+00:00,title|description|tags
35Vr5Da_Iq0,buldak,2025-09-09,UC9zkxBFJGs_gLzszJaKHawg,David Leyva,2025-09-10T06:32:50.360705+00:00,title|description|tags
Qois3eYbySw,buldak,2025-09-09,UCML6fhVlFrous3AOeM8VPyQ,FOOD CRAVINGS OFFICIAL,2025-09-10T06:32:50.360723+00:00,title|description|tags
cVN9ltP76Ko,buldak,2025-09-09,UCrynkWsax-JuXVtLhqIMNDQ,TheButterOnBiscuits,2025-09-10T06:32:50.360837+00:00,title|description|tags
4qs-FuvcbSk,buldak,2025-09-09,UCC8C3VYG_Q4s9GGrO574eEw,Yara,2025-09-10T06:32:50.360861+00:00,title|description|tags
iXt9h_q-0WQ,buldak,2025-09-09,UCr-fd9ScMu0lKjC-tzS5e2g,sweet and spice,2025-09-10T06:32:50.360876+00:00,title|description|tags
jlcWwjGOyEU,buldak,2025-09-09,UCNWRXjAa6Yn7h1wZkfF2Wkg,The Random Girl,2025-09-10T06:32:50.360890+00:00,title|description|tags
EcXq_DAKTNc,buldak,2025-09-09,UCFZ2uhwnVI1HYWoa-GWgEwA,mfthelegend,2025-09-10T06:32:50.360904+00:00,title|description|tags
7p_5sTi9MgQ,buldak,2025-09-09,UCabDSFyyHgn1AhntABDk_kg,Планета Тигра,2025-09-10T06:32:50.360921+00:00,title|description|tags
24LuJ6muFzg,buldak,2025-09-09,UCFHYbAc_UyX_hU0fCkGqxtw,Antonio,2025-09-10T06:32:50.360939+00:00,title|description|tags
5nRskhSmFmE,buldak,2025-09-09,UCwxSpiXtwZfRdpSkLwgE7iA,Makayla Snapp,2025-09-10T06:32:50.360954+00:00,title|description|tags
Z1COmFuWREc,buldak,2025-09-09,UCzDU1uubW07fnWrX1eJJ_QQ,ROCKO,2025-09-10T06:32:50.360978+00:00,title|description|tags
-tDpHT1IB7Q,buldak,2025-09-09,UCezjs2xUnC7eP-z-cPmBAdw,It’s Isabella🎀,2025-09-10T06:32:50.360994+00:00,title|description|tags
SVGIwmiIBik,buldak,2025-09-09,UCPnncLv2aTRNgBmvxC27Wtg,Ultimate Aleena,2025-09-10T06:32:50.361011+00:00,title|description|tags
fOrvm9Gdazw,buldak,2025-09-09,UCPnncLv2aTRNgBmvxC27Wtg,Ultimate Aleena,2025-09-10T06:32:50.361027+00:00,title|description|tags
0LBbRiFSwWE,buldak,2025-09-09,UCWATfwelpj91gE3pG2R7vxg,It’s just Maya,2025-09-10T06:32:50.361042+00:00,title|description|tags
S3jx-2RX1Fw,buldak,2025-09-09,UCmgPeIgTKWahogWOiBLNqMA,Alain Brisay,2025-09-10T06:32:50.361058+00:00,title|description|tags
AHBpoNdZ0EQ,buldak,2025-09-09,UCIYL06Rj6aWHm_TKJpNHCZA,𝐍𝐎𝐔𝐑 🔥,2025-09-10T06:32:50.361076+00:00,title|description|tags
1qRDiHWYkyg,buldak,2025-09-09,UCPyBTnzIeU4Vus3f3tb6EMQ,AmazingchaiInTexas,2025-09-10T06:32:50.361090+00:00,title|description|tags
I138M41czrI,buldak,2025-09-09,UCpaIlNXKPdo8daMfxv2qFyw,ByNess Inspiration,2025-09-10T06:32:50.361107+00:00,title|description|tags
6chmtrt_Itg,buldak,2025-09-09,UCLwhv5_7OGy4iH0qHZcBeKQ,Kylie blessmr,2025-09-10T06:32:50.361122+00:00,title|description|tags
PvtEmPVdlIk,buldak,2025-09-09,UCXw80TqHpTJJr9RBqSEoEVg,Leiah,2025-09-10T06:32:50.361167+00:00,title|description|tags
yTEdlDPs5y4,buldak,2025-09-09,UC2_NmycumXJ7fP78eG-Is7A,FoodPorn,2025-09-10T06:32:50.361184+00:00,title|description|tags
UThZm_EsQ4I,buldak,2025-09-09,UCk-Z_iuwB7S2G-LFLXO-f-g,MensFuel,2025-09-10T06:32:50.361219+00:00,title|description|tags
65z_9HO6Vco,buldak,2025-09-09,UCzr9sOi0SXJK2bHDNM4v-9w,Beauty girls 3,2025-09-10T06:32:50.361233+00:00,title|description|tags
aPLReQ-5nI8,buldak,2025-09-09,UCM3Vic_aLJ7Pf45QeUr_kYw,♡•Sarah•♡,2025-09-10T06:32:50.361246+00:00,title|description|tags
XSSv2mTb4JM,buldak,2025-09-09,UCC0UiqoMhtgG2_RjXr9RjJA,tonechee,2025-09-10T06:32:50.361260+00:00,title|description|tags
4D0TE7fIs4o,buldak,2025-09-09,UCaPtFzichfsaue5wyqwz8RA,Spice cooks,2025-09-10T06:32:50.361275+00:00,title|description|tags
n3HEoyD_7no,buldak,2025-09-09,UCzbf4q8ZP-q_knWdDqLornQ,Itzz.Abla.tocaroblox,2025-09-10T06:32:50.361287+00:00,title|description|tags
Ox7P4kk-XA8,buldak,2025-09-09,UCyiEI9xV1DpN3WDt2UxOPeQ,Three Legs limps with a cane 🤨🖕,2025-09-10T06:32:50.361300+00:00,title|description|tags
zbF1cyqougc,buldak,2025-09-09,UCERPywMmTZ8m_NT9EKn8Ggw,olnudle,2025-09-10T06:32:50.361318+00:00,title|description|tags
QC-AmMeuoNE,buldak,2025-09-09,UCA5vQF6-9wxpbczHc542eaA,TeamKhiroya,2025-09-10T06:32:50.361336+00:00,title|description|tags
-T3a50yAO2Y,buldak,2025-09-09,UCh1A6jJtOTRsfHt1eU84FfQ,Raffa official,2025-09-10T06:32:50.361349+00:00,title|description|tags
RK0G2-Lc7N8,buldak,2025-09-09,UCabDSFyyHgn1AhntABDk_kg,Планета Тигра,2025-09-10T06:32:50.361363+00:00,title|description|tags
nFzeoGLuYhU,buldak,2025-09-09,UCdDQgCbGjZwDi6gpYrbxGoA,Food_Lovers🍜,2025-09-10T06:32:50.361405+00:00,title|description|tags
al9JehpvchM,buldak,2025-09-09,UCjaokX0tFs95gjk86IZaKdA,It’s Angel Udoh,2025-09-10T06:32:50.361419+00:00,title|description|tags
eMlxi9uxNPs,buldak,2025-09-09,UCR8KIXHGbQ_0qwDR4-egM2A,El Retro,2025-09-10T06:32:50.361445+00:00,title|description|tags
J-Q0kGPR8xk,buldak,2025-09-09,UC_dNnRR8M_0SNOu7HhM5zOg,24 Sieben Shop,2025-09-10T06:32:50.361470+00:00,title|description|tags
h3vyq0NVN9I,buldak,2025-09-09,UCLfQalh0OGeoTMFNQ6ahzKg,КИРЮХА,2025-09-10T06:32:50.361488+00:00,title|description|tags
I314QnvR284,buldak,2025-09-09,UCPS8ClpZYgumpAdhxcTvygw,~Itz Tocarose🎀,2025-09-10T06:32:50.361507+00:00,title|description|tags
LYUCs4MAyAE,buldak,2025-09-09,UCWS-a2C8Yvfx5PdjiKhc6dQ,17Doax,2025-09-10T06:32:50.361522+00:00,title|description|tags
ePqz9fYlyuM,buldak,2025-09-09,UC1_TDeZks_IfD5U3QVBWL0A,NaciremaDream,2025-09-10T06:32:50.361536+00:00,title|description|tags
QifxAUQq_rI,buldak,2025-09-09,UCCapJrxrYML9fFsx2KYE5-g,Itsmeeygs,2025-09-10T06:32:50.361551+00:00,title|description|tags
4gNnWrR8Rp8,buldak,2025-09-09,UCHfD8lqR1BHwOmi12Htcv4g,GulabCooks,2025-09-10T06:32:50.361564+00:00,title|description|tags
1RWYbmJ5xgU,buldak,2025-09-09,UCdTZlRdRPoHGH6H7fOAMKkQ,Denchik,2025-09-10T06:32:50.361584+00:00,title|description|tags
Nb4kMH1dSGI,buldak,2025-09-09,UCQH2R4Tftx182WqLlZ4Szgw,Juniverse,2025-09-10T06:32:50.361601+00:00,title|description|tags
hy97cOL4i9M,buldak,2025-09-09,UCmE1G-IqAxRjnUfsN4aaizw,Shila's Vlogs,2025-09-10T06:32:50.361632+00:00,title|description|tags
UGOVZz_48uk,buldak,2025-09-09,UC1V-1nXvIHkRmuB3wUS9nDg,Laser Kendur,2025-09-10T06:32:50.361646+00:00,title|description|tags
BIPu_eCYldI,buldak,2025-09-09,UCUEaj_oQp7o9nky1fcvjOIw,Khawar Ashor,2025-09-10T06:32:50.361669+00:00,title|description|tags
lXrob6NVENo,buldak,2025-09-09,UCljtnfsIOD7ni4FwGofCXJg,KITCHEN TASTE FROM THE HEART,2025-09-10T06:32:50.361689+00:00,title|description|tags
kBUjIFG2mcY,buldak,2025-09-09,UCabDSFyyHgn1AhntABDk_kg,Планета Тигра,2025-09-10T06:32:50.361704+00:00,title|description|tags
j9w2RUzfXuI,buldak,2025-09-09,UCabDSFyyHgn1AhntABDk_kg,Планета Тигра,2025-09-10T06:32:50.361720+00:00,title|description|tags
7HBofZhUnHE,buldak,2025-09-09,UCN-TBnQtEolCg0NhuRotYTA,Lets cook with together,2025-09-10T06:32:50.361736+00:00,title|description|tags
mtEvnqmCUe8,buldak,2025-09-09,UCP_1bP3Vy2K1t28gRAhN8Aw,MIKE,2025-09-10T06:32:50.361754+00:00,title|description|tags
ld9Lh0rHdwc,buldak,2025-09-09,UCoflSxJc8ULqK9bpFHViEkQ,CRISPY asmr eating,2025-09-10T06:32:50.361880+00:00,title|description|tags
7m8p_lWRKlg,buldak,2025-09-09,UCWW22aFC0cvuIvqWBhWQjWg,wingstopuk,2025-09-10T06:32:50.361931+00:00,title|description|tags
R3Mg3eMyBS0,buldak,2025-09-09,UCnED80W3Df9vllnuJ4qBqqA,Zsuzsanna Némethné Pogrányi,2025-09-10T06:32:50.361952+00:00,title|description|tags
sRSXHivNMnw,buldak,2025-09-09,UC31BYbrXsyPRudO5Y4H29Cw,StayP Eats,2025-09-10T06:32:50.361970+00:00,title|description|tags
jk6eSlJL0Nw,buldak,2025-09-09,UCOEHrprAvYKNl_L1r5AL1mg,Alleynetwork,2025-09-10T06:32:50.361989+00:00,title|description|tags
BUt0-UHIJcw,buldak,2025-09-09,UCxa0RUW97b215jZcnpcrs9w,Tisha In Texas,2025-09-10T06:32:50.362002+00:00,title|description|tags
iodlkHdua9Y,buldak,2025-09-09,UCEYC05RI_Gr4RC2Y_qcWg_Q,Cheddar Cheese,2025-09-10T06:32:50.362022+00:00,title|description|tags
kvCTLyNOvwQ,buldak,2025-09-09,UCqZVfDVzAxtwWmap5hUukhg,Flavor Flow,2025-09-10T06:32:50.362040+00:00,title|description|tags
OwJufzdmaxc,buldak,2025-09-09,UCabDSFyyHgn1AhntABDk_kg,Планета Тигра,2025-09-10T06:32:50.362056+00:00,title|description|tags
yVfRQ7Gt8fQ,buldak,2025-09-09,UC6_W-x-yawIwI78QthxhBQA,Charity Reign Espante,2025-09-10T06:32:50.362074+00:00,title|description|tags
WK52sfxnljE,buldak,2025-09-09,UCabDSFyyHgn1AhntABDk_kg,Планета Тигра,2025-09-10T06:32:50.362087+00:00,title|description|tags
NrjKtJQiq_0,buldak,2025-09-09,UC3mnWjxohjl4BuI53mKFd_g,চিত্তাকর্ষক,2025-09-10T06:32:50.362106+00:00,title|description|tags
WU9lhsNR_Fg,buldak,2025-09-09,UChNW_iQwIsYi0iu95WdZ8hQ,helloabbiesoo,2025-09-10T06:32:50.362125+00:00,title|description|tags
oSvcTGhC1HQ,buldak,2025-09-09,UCa4nMHWVUirT5JcBvLC8i4A,Goky Eats,2025-09-10T06:32:50.362141+00:00,title|description|tags
tJFhnuYhEd8,buldak,2025-09-09,UCCjKVDATKNJKZ2e71nQduaA,bun buns,2025-09-10T06:32:50.362157+00:00,title|description|tags
OFA6Vxp63i4,buldak,2025-09-09,UCSV66U5bqARUeUW_AoJPS5A,⭐L3O_.NOOB🌼,2025-09-10T06:32:50.362175+00:00,title|description|tags
kTYFQLIk_2M,buldak,2025-09-09,UCtcbUVrbF0Nx-dsVdPZeFHA,Eat and repeat 😋 ,2025-09-10T06:32:50.362189+00:00,title|description|tags
1iDynF0V9zQ,buldak,2025-09-09,UCqBg_dVnTBdOkuYfkX53JHA,Maleez creations ,2025-09-10T06:32:50.362215+00:00,title|description|tags
cx4NzBD_i9I,buldak,2025-09-09,UC5eQ8hlx1Wbg2psB6ZiHNlQ,Girlie Suyat ,2025-09-10T06:32:50.362228+00:00,title|description|tags
GXv-Bkxxsyg,buldak,2025-09-09,UCazbZulnQl20hpiH54JDyng,Saraa De Silva,2025-09-10T06:32:50.362252+00:00,title|description|tags
aNdtKgbd9Iw,buldak,2025-09-09,UCjY-Xu5qkIFR_DSs7VvNMGw,TheSanaSpace!!,2025-09-10T06:32:50.362270+00:00,title|description|tags
NrWxtZE6RJw,buldak,2025-09-09,UCtdsnRTUFl_Bn195K6rVHXA,Pyeoniverse,2025-09-10T06:32:50.362289+00:00,title|description|tags
_Jt5Y6Reg0U,buldak,2025-09-09,UCyDpoOvLtHtr65Ok0xXn66w,Mukbang Asmr,2025-09-10T06:32:50.362304+00:00,title|description|tags
J3vJ5lM-FZ0,buldak,2025-09-09,UCAiKx67_4eDTLO2jMte7Saw,Timeline,2025-09-10T06:32:50.362318+00:00,title|description|tags
Lt8Bqy9r4-A,buldak,2025-09-09,UCVlKd6uvtvphUo4LLJdG6cg,once upon a spice ,2025-09-10T06:32:50.362332+00:00,title|description|tags
fbxtc4bBM6E,buldak,2025-09-09,UCeI7XuA1nwQxEHxe3ey5dlw,KIMSIN OFFICIAL ,2025-09-10T06:32:50.362350+00:00,title|description|tags
A21_Q0V1jns,buldak,2025-09-09,UCDnQ-ZM1tiT0a5lx4LAa9Gg,aimschia,2025-09-10T06:32:50.362363+00:00,title|description|tags
sZppzt4VcmM,buldak,2025-09-09,UCe47DMx-tGVgvXl2ZU4i-NQ,Semmang Vlog,2025-09-10T06:32:50.362384+00:00,title|description|tags
qLOKclFm878,buldak,2025-09-09,UCsOUgvhUC-Pcjf-JwqFhAnw,Slice of Vicki,2025-09-10T06:32:50.362397+00:00,title|description|tags
roRKFZ-OcFY,buldak,2025-09-09,UCZawH76eWRZPYbT-9DpcneA,Nam Cook ÷×스키즈드 네 개-39 ,2025-09-10T06:32:50.362413+00:00,title|description|tags
