date,close,volume,ticker
2015-10-07,7225.0,31231,228810.KS
2015-10-08,7165.0,2110,228810.KS
2015-10-12,7265.0,15,228810.KS
2015-10-13,7175.0,102,228810.KS
2015-10-14,7025.0,349,228810.KS
2015-10-15,7095.0,7,228810.KS
2015-10-16,7175.0,115098,228810.KS
2015-10-19,7115.0,4,228810.KS
2015-10-20,7125.0,3,228810.KS
2015-10-21,7125.0,13,228810.KS
2015-10-22,6930.0,2136,228810.KS
2015-10-23,7015.0,20,228810.KS
2015-10-26,7235.0,35,228810.KS
2015-10-27,7280.0,12,228810.KS
2015-10-28,7290.0,123,228810.KS
2015-10-29,7315.0,30,228810.KS
2015-10-30,7140.0,380,228810.KS
2015-11-02,7135.0,0,228810.KS
2015-11-03,7130.0,1,228810.KS
2015-11-04,7095.0,13,228810.KS
2015-11-05,7145.0,58,228810.KS
2015-11-06,7145.0,293,228810.KS
2015-11-09,7065.0,577,228810.KS
2015-11-10,6740.0,1292,228810.KS
2015-11-11,6750.0,16,228810.KS
2015-11-12,6705.0,29,228810.KS
2015-11-13,6765.0,22,228810.KS
2015-11-16,6570.0,580,228810.KS
2015-11-17,6730.0,38,228810.KS
2015-11-18,6920.0,252,228810.KS
2015-11-19,6950.0,108,228810.KS
2015-11-20,6990.0,31,228810.KS
2015-11-23,7125.0,5106,228810.KS
2015-11-24,7185.0,3218,228810.KS
2015-11-25,7185.0,98,228810.KS
2015-11-26,7260.0,38992,228810.KS
2015-11-27,7245.0,206,228810.KS
2015-11-30,7240.0,50,228810.KS
2015-12-01,7220.0,276,228810.KS
2015-12-02,7270.0,519,228810.KS
2015-12-03,7180.0,330,228810.KS
2015-12-04,7165.0,348,228810.KS
2015-12-07,7245.0,8996,228810.KS
2015-12-08,7125.0,92,228810.KS
2015-12-09,7075.0,6,228810.KS
2015-12-10,7065.0,20042,228810.KS
2015-12-11,7100.0,67514,228810.KS
2015-12-14,6895.0,60731,228810.KS
2015-12-15,6915.0,44,228810.KS
2015-12-16,7020.0,143,228810.KS
2015-12-17,7045.0,70825,228810.KS
2015-12-18,7160.0,1192,228810.KS
2015-12-21,7120.0,892,228810.KS
2015-12-22,7035.0,1,228810.KS
2015-12-23,7045.0,638,228810.KS
2015-12-24,6940.0,239,228810.KS
2015-12-28,6825.0,40,228810.KS
2015-12-29,7075.0,9007,228810.KS
2015-12-30,7235.0,254,228810.KS
2016-01-04,7155.0,1027,228810.KS
2016-01-05,7165.0,539,228810.KS
2016-01-06,7235.0,543,228810.KS
2016-01-07,7230.0,575,228810.KS
2016-01-08,7170.0,365,228810.KS
2016-01-11,7140.0,56681,228810.KS
2016-01-12,7120.0,21,228810.KS
2016-01-13,7290.0,146,228810.KS
2016-01-14,7180.0,55037,228810.KS
2016-01-15,7120.0,368,228810.KS
2016-01-18,7095.0,730,228810.KS
2016-01-19,7210.0,301,228810.KS
2016-01-20,6920.0,660,228810.KS
2016-01-21,6985.0,28,228810.KS
2016-01-22,7170.0,172,228810.KS
2016-01-25,7310.0,21311,228810.KS
2016-01-26,7290.0,42,228810.KS
2016-01-27,7250.0,7286,228810.KS
2016-01-28,7200.0,15,228810.KS
2016-01-29,7230.0,4323,228810.KS
2016-02-01,7195.0,133,228810.KS
2016-02-02,7110.0,23,228810.KS
2016-02-03,7035.0,629,228810.KS
2016-02-04,7080.0,884,228810.KS
2016-02-05,7035.0,106,228810.KS
2016-02-11,6720.0,94465,228810.KS
2016-02-12,6400.0,68046,228810.KS
2016-02-15,6460.0,23157,228810.KS
2016-02-16,6610.0,40125,228810.KS
2016-02-17,6380.0,4,228810.KS
2016-02-18,6480.0,1519,228810.KS
2016-02-19,6625.0,53008,228810.KS
2016-02-22,6685.0,196,228810.KS
2016-02-23,6455.0,187069,228810.KS
2016-02-24,6370.0,10532,228810.KS
2016-02-25,6445.0,351,228810.KS
2016-02-26,6475.0,10757,228810.KS
2016-02-29,6570.0,375,228810.KS
2016-03-02,6590.0,105,228810.KS
2016-03-03,6700.0,322,228810.KS
2016-03-04,6695.0,276,228810.KS
2016-03-07,6650.0,200263,228810.KS
2016-03-08,6680.0,631,228810.KS
2016-03-09,6690.0,2976,228810.KS
2016-03-10,6795.0,356,228810.KS
2016-03-11,6745.0,16,228810.KS
2016-03-14,6810.0,1298,228810.KS
2016-03-15,6760.0,124,228810.KS
2016-03-16,6750.0,10172,228810.KS
2016-03-17,6795.0,173829,228810.KS
2016-03-18,6820.0,735,228810.KS
2016-03-21,6775.0,310,228810.KS
2016-03-22,6830.0,101,228810.KS
2016-03-23,6870.0,277,228810.KS
2016-03-24,6830.0,173599,228810.KS
2016-03-25,6825.0,232,228810.KS
2016-03-28,6800.0,646,228810.KS
2016-03-29,6820.0,1872,228810.KS
2016-03-30,6770.0,84,228810.KS
2016-03-31,6685.0,5579,228810.KS
2016-04-01,6680.0,259,228810.KS
2016-04-04,6660.0,91,228810.KS
2016-04-05,6580.0,209,228810.KS
2016-04-06,6700.0,189,228810.KS
2016-04-07,6665.0,151,228810.KS
2016-04-08,6665.0,68,228810.KS
2016-04-11,6605.0,62,228810.KS
2016-04-12,6605.0,113,228810.KS
2016-04-14,6470.0,1806,228810.KS
2016-04-15,6480.0,358,228810.KS
2016-04-18,6570.0,13,228810.KS
2016-04-19,6690.0,2783,228810.KS
2016-04-20,6655.0,185,228810.KS
2016-04-21,6730.0,366,228810.KS
2016-04-22,6785.0,149,228810.KS
2016-04-25,6840.0,1668,228810.KS
2016-04-26,6760.0,464,228810.KS
2016-04-27,6760.0,54,228810.KS
2016-04-28,6800.0,2,228810.KS
2016-04-29,6795.0,19,228810.KS
2016-05-02,6620.0,426,228810.KS
2016-05-03,6730.0,249,228810.KS
2016-05-04,6705.0,12,228810.KS
2016-05-09,6675.0,12,228810.KS
2016-05-10,6785.0,117,228810.KS
2016-05-11,6965.0,2581,228810.KS
2016-05-12,7015.0,651,228810.KS
2016-05-13,7005.0,3197,228810.KS
2016-05-16,6975.0,201,228810.KS
2016-05-17,6935.0,2,228810.KS
2016-05-18,6750.0,536,228810.KS
2016-05-19,6615.0,125,228810.KS
2016-05-20,6695.0,32,228810.KS
2016-05-23,6790.0,185,228810.KS
2016-05-24,6690.0,15012,228810.KS
2016-05-25,6850.0,2115,228810.KS
2016-05-26,6755.0,4511,228810.KS
2016-05-27,6770.0,5326,228810.KS
2016-05-30,6800.0,1429,228810.KS
2016-05-31,6825.0,120,228810.KS
2016-06-01,6855.0,19,228810.KS
2016-06-02,6820.0,7,228810.KS
2016-06-03,6820.0,166,228810.KS
2016-06-07,6840.0,100,228810.KS
2016-06-08,6810.0,2000,228810.KS
2016-06-09,6850.0,0,228810.KS
2016-06-13,6735.0,125,228810.KS
2016-06-14,6715.0,2,228810.KS
2016-06-15,6680.0,20,228810.KS
2016-06-16,6610.0,209,228810.KS
2016-06-17,6620.0,12,228810.KS
2016-06-20,6655.0,56,228810.KS
2016-06-22,6655.0,119,228810.KS
2016-06-23,6495.0,348,228810.KS
2016-06-24,6190.0,467,228810.KS
2016-06-27,6215.0,159,228810.KS
2016-06-28,6340.0,124,228810.KS
2016-06-29,6460.0,5223,228810.KS
2016-06-30,6455.0,3,228810.KS
2016-07-01,6490.0,2,228810.KS
2016-07-04,6470.0,92,228810.KS
2016-07-05,6450.0,9,228810.KS
2016-07-06,6375.0,48,228810.KS
2016-07-07,6440.0,13,228810.KS
2016-07-08,6340.0,10,228810.KS
2016-07-11,6355.0,12,228810.KS
2016-07-12,6425.0,11,228810.KS
2016-07-13,6495.0,185,228810.KS
2016-07-14,6395.0,10009,228810.KS
2016-07-15,6395.0,42,228810.KS
2016-07-18,6440.0,31,228810.KS
2016-07-19,6510.0,61,228810.KS
2016-07-20,6540.0,10,228810.KS
2016-07-21,6575.0,12,228810.KS
2016-07-22,6540.0,113,228810.KS
2016-07-25,6505.0,320,228810.KS
2016-07-26,6490.0,236,228810.KS
2016-07-27,6385.0,702,228810.KS
2016-07-28,6350.0,111,228810.KS
2016-07-29,6290.0,66,228810.KS
2016-08-01,6140.0,143,228810.KS
2016-08-02,5895.0,169,228810.KS
2016-08-03,5850.0,10593,228810.KS
2016-08-04,5880.0,914,228810.KS
2016-08-05,5680.0,24109,228810.KS
2016-08-08,5830.0,598,228810.KS
2016-08-09,5850.0,630,228810.KS
2016-08-10,6020.0,640,228810.KS
2016-08-11,5935.0,60,228810.KS
2016-08-12,5945.0,417,228810.KS
2016-08-16,5950.0,33037,228810.KS
2016-08-17,5885.0,304,228810.KS
2016-08-18,5825.0,20005,228810.KS
2016-08-19,5760.0,54,228810.KS
2016-08-22,5690.0,300,228810.KS
2016-08-23,5680.0,11,228810.KS
2016-08-24,5665.0,8,228810.KS
2016-08-25,5670.0,128,228810.KS
2016-08-26,5630.0,734,228810.KS
2016-08-29,5565.0,193,228810.KS
2016-08-30,5525.0,558,228810.KS
2016-08-31,5500.0,6093,228810.KS
2016-09-01,5645.0,332,228810.KS
2016-09-02,5695.0,150,228810.KS
2016-09-05,5690.0,121,228810.KS
2016-09-06,5670.0,4,228810.KS
2016-09-07,5565.0,57,228810.KS
2016-09-08,5530.0,5113,228810.KS
2016-09-09,5490.0,156,228810.KS
2016-09-12,5385.0,393,228810.KS
2016-09-13,5395.0,3,228810.KS
2016-09-19,5465.0,8,228810.KS
2016-09-20,5525.0,6022,228810.KS
2016-09-21,5615.0,483,228810.KS
2016-09-22,5680.0,305,228810.KS
2016-09-23,5695.0,941,228810.KS
2016-09-26,5735.0,246,228810.KS
2016-09-27,5735.0,2,228810.KS
2016-09-28,5735.0,9,228810.KS
2016-09-29,5715.0,241,228810.KS
2016-09-30,5645.0,37,228810.KS
2016-10-04,5695.0,4,228810.KS
2016-10-05,5715.0,6,228810.KS
2016-10-06,5730.0,25,228810.KS
2016-10-07,5635.0,23,228810.KS
2016-10-10,5615.0,9,228810.KS
2016-10-11,5570.0,113,228810.KS
2016-10-12,5615.0,41,228810.KS
2016-10-13,5570.0,12,228810.KS
2016-10-14,5550.0,27,228810.KS
2016-10-17,5540.0,103,228810.KS
2016-10-18,5505.0,64,228810.KS
2016-10-19,5500.0,41,228810.KS
2016-10-20,5520.0,1540,228810.KS
2016-10-21,5485.0,44,228810.KS
2016-10-24,5490.0,37,228810.KS
2016-10-25,5405.0,38,228810.KS
2016-10-26,5370.0,267,228810.KS
2016-10-27,5485.0,46,228810.KS
2016-10-28,5440.0,0,228810.KS
2016-10-31,5325.0,58,228810.KS
2016-11-01,5330.0,561,228810.KS
2016-11-02,5170.0,423,228810.KS
2016-11-03,5140.0,12013,228810.KS
2016-11-04,5130.0,30141,228810.KS
2016-11-07,5260.0,779,228810.KS
2016-11-08,5285.0,9,228810.KS
2016-11-09,5175.0,123,228810.KS
2016-11-10,5300.0,815,228810.KS
2016-11-11,5280.0,232,228810.KS
2016-11-14,5285.0,23,228810.KS
2016-11-15,5315.0,1,228810.KS
2016-11-16,5340.0,30,228810.KS
2016-11-17,5365.0,61,228810.KS
2016-11-18,5285.0,960,228810.KS
2016-11-21,4985.0,1461,228810.KS
2016-11-22,4975.0,2090,228810.KS
2016-11-23,4910.0,4174,228810.KS
2016-11-24,4790.0,496,228810.KS
2016-11-25,4845.0,76,228810.KS
2016-11-28,4840.0,4,228810.KS
2016-11-29,4950.0,689,228810.KS
2016-11-30,4915.0,131,228810.KS
