report_date_utc,brand,roll7_video_mentions,roll7_views,roll7_likes,roll7_comments,roll7_top_channels
2025-09-11,&team,42,37217,1253,40,
2025-09-11,aespa,497,3312584,161129,5326,
2025-09-11,ateez,410,669898,23850,1030,
2025-09-11,babymonster,499,3662263,156630,4434,
2025-09-11,blackpink,495,10913594,315199,14540,
2025-09-11,boynextdoor,100,156198,9619,165,
2025-09-11,bts,487,16569075,390689,9868,
2025-09-11,cravity,20,60157,2203,44,
2025-09-11,day6,310,300498,10582,437,
2025-09-11,dearalice,2,4149,373,16,
2025-09-11,enhypen,500,1915577,148967,5114,
2025-09-11,gidle,206,306580,5852,467,
2025-09-11,hearts2hearts,215,816945,40742,559,
2025-09-11,illit,471,2458455,133739,3440,
2025-09-11,itzy,499,1536548,54009,4701,
2025-09-11,ive,486,3133472,113533,2606,
2025-09-11,izna,62,71088,4696,379,
2025-09-11,j hope,481,2405067,105317,2020,
2025-09-11,katseye,499,6138743,243502,5028,
2025-09-11,kickflip,128,187082,8769,405,
2025-09-11,kiiikiii,112,194249,9734,230,
2025-09-11,le sserafim,229,2340592,143130,4599,
2025-09-11,misamo,18,51783,1386,44,
2025-09-11,nct,481,1395319,100882,2127,
2025-09-11,nct 127,183,919340,70782,696,
2025-09-11,nct dream,252,1005286,83019,789,
2025-09-11,nct wish,104,532243,43120,1332,
2025-09-11,newjeans,477,814734,28423,2871,
2025-09-11,nexz,25,36762,1756,69,
2025-09-11,niziu,40,78931,2736,60,
2025-09-11,njz,94,175223,14634,288,
2025-09-11,nmixx,133,1311515,36849,874,
2025-09-11,riize,95,196002,14062,1189,
2025-09-11,seventeen,483,1267113,55758,1391,
2025-09-11,stray kids,489,4043325,453061,8377,
2025-09-11,tomorrow x together,85,406550,44945,652,
2025-09-11,twice,495,3593972,116440,5029,
2025-09-11,tws,276,246609,6848,574,
2025-09-11,vcha,8,5075,114,13,
2025-09-11,weverse,262,402724,13858,545,
2025-09-11,xdinary heroes,23,13140,379,36,
2025-09-11,zerobaseone,215,657500,66499,2815,
2025-09-12,&team,104,217657,15784,785,
2025-09-12,aespa,949,12300574,462146,14082,
2025-09-12,ateez,834,1921727,80906,3040,
2025-09-12,babymonster,996,12785391,607603,18952,
2025-09-12,blackpink,967,28026431,705307,31361,
2025-09-12,boynextdoor,214,628832,51638,1156,
2025-09-12,bts,974,44063076,1076688,28680,
2025-09-12,cravity,45,147029,4872,122,
2025-09-12,day6,629,893920,38298,2758,
2025-09-12,dearalice,4,8235,867,40,
2025-09-12,enhypen,995,6364607,463057,12465,
2025-09-12,gidle,445,1177647,22835,1858,
2025-09-12,hearts2hearts,455,3674300,182086,3569,
2025-09-12,illit,939,6289651,300074,8636,
2025-09-12,itzy,993,4765168,153575,13738,
2025-09-12,ive,974,9687914,281179,7307,
2025-09-12,izna,123,222457,9139,590,
2025-09-12,j hope,933,5604893,231709,5627,
2025-09-12,katseye,996,25665187,1186362,24584,
2025-09-12,kickflip,270,535216,24960,1093,
2025-09-12,kiiikiii,165,325655,13029,378,
2025-09-12,le sserafim,475,4786543,237011,7433,
2025-09-12,misamo,28,91635,1889,102,
2025-09-12,nct,952,3904863,261815,6733,
2025-09-12,nct 127,375,2682412,199619,2673,
2025-09-12,nct dream,545,2966924,233138,2570,
2025-09-12,nct wish,217,1409108,93119,3872,
2025-09-12,newjeans,954,2677036,89262,6540,
2025-09-12,nexz,61,161512,17000,963,
2025-09-12,niziu,89,595522,22522,474,
2025-09-12,njz,190,593013,35375,933,
2025-09-12,nmixx,284,3681735,94374,2557,
2025-09-12,riize,199,656357,49127,2492,
2025-09-12,seventeen,970,4100081,182234,4450,
2025-09-12,stray kids,976,9167876,829635,16272,
2025-09-12,tomorrow x together,168,1078754,110605,1771,
2025-09-12,twice,973,10892044,422720,16757,
2025-09-12,tws,552,754638,20273,1443,
2025-09-12,vcha,15,8754,198,31,
2025-09-12,weverse,566,1122732,58033,3265,
2025-09-12,xdinary heroes,51,38643,4135,228,
2025-09-12,zerobaseone,465,1548046,141680,5771,
2025-09-13,&team,167,542928,25192,1092,
2025-09-13,aespa,1491,28362618,870566,32067,
2025-09-13,ateez,1349,4630022,196571,5861,
2025-09-13,babymonster,1552,31998895,1310589,34920,
2025-09-13,blackpink,1541,70509030,1498161,72438,
2025-09-13,boynextdoor,352,1995638,151559,2450,
2025-09-13,bts,1547,109005769,2175230,63803,
2025-09-13,cravity,79,271769,10259,249,
2025-09-13,day6,992,2176310,67745,4722,
2025-09-13,dearalice,7,21591,2157,62,
2025-09-13,enhypen,1555,18377862,1041840,26173,
2025-09-13,gidle,738,4312643,66643,5031,
2025-09-13,hearts2hearts,699,7899565,365030,6229,
2025-09-13,illit,1487,15588551,704672,17050,
2025-09-13,itzy,1573,14479823,366213,37545,
2025-09-13,ive,1516,20536681,564238,15220,
2025-09-13,izna,182,853753,35798,1284,
2025-09-13,j hope,1451,14904663,566281,13710,
2025-09-13,katseye,1555,78202457,3060548,69473,
2025-09-13,kickflip,417,1080108,51745,2230,
2025-09-13,kiiikiii,235,529081,20317,625,
2025-09-13,le sserafim,909,14297040,558595,12866,
2025-09-13,misamo,39,162629,2782,139,
2025-09-13,nct,1446,7441059,446983,11156,
2025-09-13,nct 127,540,4720545,323601,3879,
2025-09-13,nct dream,839,5466375,395217,4096,
2025-09-13,nct wish,368,3318411,161328,5973,
2025-09-13,newjeans,1506,6979997,218591,14515,
2025-09-13,nexz,102,362379,36282,1828,
2025-09-13,niziu,129,1986618,48607,965,
2025-09-13,njz,283,1248330,65766,1616,
2025-09-13,nmixx,426,7919527,179719,4520,
2025-09-13,riize,299,1201738,74893,3138,
2025-09-13,seventeen,1503,10835399,455493,8522,
2025-09-13,stray kids,1536,18135165,1427861,30299,
2025-09-13,tomorrow x together,281,4267140,318767,3818,
2025-09-13,twice,1529,37209992,1075725,36088,
2025-09-13,tws,814,2065332,56424,2753,
2025-09-13,vcha,27,23333,405,76,
2025-09-13,weverse,734,1727371,79997,3150,
2025-09-13,xdinary heroes,96,328744,9402,533,
2025-09-13,zerobaseone,656,2987806,239872,8332,
2025-09-15,&team,235,794059,37601,1708,
2025-09-15,aespa,1981,35503011,1104526,40450,
2025-09-15,ateez,1810,5782727,258901,7781,
2025-09-15,babymonster,2050,38627431,1521659,41305,
2025-09-15,blackpink,2030,92821494,1920924,91668,
2025-09-15,boynextdoor,459,2552646,198999,2910,
2025-09-15,bts,2037,147705343,2815178,82270,
2025-09-15,cravity,108,337373,13840,493,
2025-09-15,day6,1264,2873575,88143,5773,
2025-09-15,dearalice,7,24206,2266,65,
2025-09-15,enhypen,2049,25105072,1427056,35008,
2025-09-15,gidle,923,5198865,81058,5966,
2025-09-15,hearts2hearts,871,9967612,477368,7492,
2025-09-15,illit,1956,18248190,825967,20998,
2025-09-15,itzy,2069,18612816,459488,49713,
2025-09-15,ive,2004,26781521,698891,19026,
2025-09-15,izna,246,1172290,50051,1594,
2025-09-15,j hope,1928,18001975,679557,16284,
2025-09-15,katseye,2055,104320140,4104412,89912,
2025-09-15,kickflip,575,1449784,68688,2953,
2025-09-15,kiiikiii,291,612883,23171,782,
2025-09-15,le sserafim,1281,18453477,712695,15752,
2025-09-15,misamo,49,193742,3342,159,
2025-09-15,nct,1893,9374273,547833,13360,
2025-09-15,nct 127,714,5935652,399287,4509,
2025-09-15,nct dream,1042,6889392,498295,5140,
2025-09-15,nct wish,503,4664645,224527,7348,
2025-09-15,newjeans,1980,8780247,263124,17985,
2025-09-15,nexz,134,479264,46813,2149,
2025-09-15,niziu,179,2800653,74028,1346,
2025-09-15,njz,357,1857392,97150,2252,
2025-09-15,nmixx,563,9714069,219591,6067,
