video_id,as_of_date_utc,viewCount,likeCount,commentCount
9FYNNrhU2rQ,2025-09-11,1036,133,0
nb_Y4z-1bqc,2025-09-11,696,141,2
YoWevhO7UN0,2025-09-11,12,2,0
edB13fq28fA,2025-09-11,17,8,0
hLZipLswTZc,2025-09-11,3,2,0
5a6zWQUHwVI,2025-09-11,101,26,1
spqbepFYt9Q,2025-09-11,31147,652,8
YxbbZnqJJ_o,2025-09-11,1315,55,3
kgqLk_mlt9w,2025-09-11,2212,0,4
2yP2GNmBQOI,2025-09-11,54,11,0
0QaRg0m1hBM,2025-09-11,1943,80,2
p7QRTr5elU4,2025-09-11,892,0,0
M0LiyPP7sHY,2025-09-11,1007,28,0
TFvwEn5RqCQ,2025-09-11,714,0,0
VECZsmF3PsI,2025-09-11,9,0,0
YHF5fn9Bzb8,2025-09-11,1767,38,0
j2mjYgohnDc,2025-09-11,620,13,0
wmVHQEkS4Os,2025-09-11,35,0,0
jtUn-Lkc07c,2025-09-11,16440,1014,24
-2irHTfq0og,2025-09-11,137,0,0
t2UFsgn3LDA,2025-09-11,1,1,0
9fXX7ccYkLY,2025-09-11,15,0,0
mvLtpqr10JY,2025-09-11,6,1,1
yuwMp_FIyvs,2025-09-11,1586,47,2
GgpNIGIEpcU,2025-09-11,2329,16,0
9Hu2VJfC1_8,2025-09-11,1272,0,29
yO-PC3hlz-o,2025-09-11,5925,509,34
imK3PyVAG4E,2025-09-11,1824,12,1
_hYggkJQHek,2025-09-11,1397,48,2
y_HPNtbCGyI,2025-09-11,113,1,0
-31qn9bCFlQ,2025-09-11,1,1,0
_Irt9i7cwus,2025-09-11,4,0,0
DAR405fVg5k,2025-09-11,1223,27,4
XgAcEhHssxw,2025-09-11,75,3,0
6AGwgLNKuRw,2025-09-11,738,11,0
_MBr-vz_TjY,2025-09-11,359,6,0
X7u3vm-XoDA,2025-09-11,1448,35,3
KLLUjOck7mI,2025-09-11,15,4,2
pXUgeQv0OfM,2025-09-11,1558,92,6
lAsJwEtm5sw,2025-09-11,375,4,0
-sYMC3HsVQY,2025-09-11,14,8,1
BHAKkIlVbaE,2025-09-11,1685,29,0
5TwKR_IWuQ4,2025-09-11,1641,111,3
Dqa4FpEmFHY,2025-09-11,11397,2122,21
JXCYgZb6WN0,2025-09-11,15505,1401,26
104QogR8vVc,2025-09-11,2041,14,1
N7jA8z0h2hs,2025-09-11,1402,80,8
EDbEW96fUeQ,2025-09-11,810,26,35
NwirD1doyZE,2025-09-11,1111,39,3
yqWwO6hC57M,2025-09-11,1136,51,4
oH-fplyjxWs,2025-09-11,337,11,2
6S9li3wYhXM,2025-09-11,8,0,0
qwhC7BDFHnw,2025-09-11,971,19,1
ReduCHbr-Zo,2025-09-11,855,24,13
h8xOvH7PcuE,2025-09-11,1164,15,0
CtFAmhGd6JQ,2025-09-11,1268,20,0
SxTDEG5-lP8,2025-09-11,1114,22,0
6rGMF8Vfo88,2025-09-11,908,35,1
aXuzot9lcyU,2025-09-11,590,15,0
r9mwMTb6-3U,2025-09-11,864,8,0
2zrVztr2wVc,2025-09-11,173,5,4
egmHkKe_TJI,2025-09-11,6142,442,68
82peO4agBKM,2025-09-11,8,4,2
t5GjPInPQUI,2025-09-11,36,9,6
WDJ65YTNU5U,2025-09-11,40162,4782,24
DFfzdflETAw,2025-09-11,12,2,0
WS2qCWGBmSg,2025-09-11,2109,266,7
ySCAqvu4eCQ,2025-09-11,844,10,2
LitOn21yu5c,2025-09-11,3,1,0
4zxZW5ZVxG8,2025-09-11,6,0,0
UDPwddSK23k,2025-09-11,211,29,4
FYPijN5w8bk,2025-09-11,337,3,0
py_YbDvCRD8,2025-09-11,559,11,2
Vo1m-01VidA,2025-09-11,291,2,0
sVUygfx8IkI,2025-09-11,865,12,0
MMzPFFOGcGA,2025-09-11,983,33,3
bewniFUyqBQ,2025-09-11,1234,24,9
uN3zIEz1rFU,2025-09-11,10,1,0
SAgJf2vqAK0,2025-09-11,94,1,1
TbOceUmO-cQ,2025-09-11,3325,364,31
XM5YGkZmRrE,2025-09-11,4369,271,11
_Zg7iLhrxs4,2025-09-11,1326,22,0
D3h9XlknGI8,2025-09-11,2018,0,14
qYb1eIWgqgM,2025-09-11,1014,35,8
Xbg3U_DbFCg,2025-09-11,2,1,0
apRP0I2eu9M,2025-09-11,4,0,0
Dmh24SiCYsU,2025-09-11,48,3,1
b0-eUN8LxEA,2025-09-11,1813,334,15
2uwDd66m2n4,2025-09-11,1693,29,1
bSTO62Yg0Iw,2025-09-11,0,0,0
Eb482KnjAxo,2025-09-11,1410,0,2
pcSmvphWX-w,2025-09-11,905,18,3
wIqXCdBH5-I,2025-09-11,1224,35,4
vI3x2If3ihk,2025-09-11,934,18,1
9MLai2OosYY,2025-09-11,5094,960,17
br1I6cEJWpU,2025-09-11,1808,101,13
HRliQ9f4E98,2025-09-11,856,24,0
FeZyu1B5qOw,2025-09-11,1464,87,6
w_9cFMEz90c,2025-09-11,941,13,2
WFKlyTgZlJY,2025-09-11,1819,61,2
KMgwQ1WsJN0,2025-09-11,95,1,0
P9gHmY2RT1k,2025-09-11,1864,20,0
J8ldVMaVr5c,2025-09-11,1261,3,0
YXaixeF2qCw,2025-09-11,957,2,0
zLQstLIhlf4,2025-09-11,914,3,0
X0ENPhx43LE,2025-09-11,26,0,4
rjMHdePmyqc,2025-09-11,1490,29,2
YjsZ_2sUD3o,2025-09-11,895,7,0
